,StationName,ObservationDate,UTCDate,value,unit,field_key,fieldID,annotationID,transcriptionID,pageID
1,Fort Peel River,1863-02-01 21:00:00,1863-02-01 21:00:00,1,Sm,wind_force_9pm,110,230390,2067,1992
2,Fort Peel River,1863-02-02 21:00:00,1863-02-02 21:00:00,1,Sm,wind_force_9pm,110,230389,2067,1992
3,Fort Peel River,1863-02-03 21:00:00,1863-02-03 21:00:00,1,Sm,wind_force_9pm,110,230388,2067,1992
4,Fort Peel River,1863-02-04 21:00:00,1863-02-04 21:00:00,1,Sm,wind_force_9pm,110,230387,2067,1992
5,Fort Peel River,1863-02-05 21:00:00,1863-02-05 21:00:00,1,Sm,wind_force_9pm,110,230386,2067,1992
6,Fort Peel River,1863-02-06 21:00:00,1863-02-06 21:00:00,1,Sm,wind_force_9pm,110,230385,2067,1992
7,Fort Peel River,1863-02-07 21:00:00,1863-02-07 21:00:00,2,Sm,wind_force_9pm,110,230384,2067,1992
8,Fort Peel River,1863-02-08 21:00:00,1863-02-08 21:00:00,0,Sm,wind_force_9pm,110,230383,2067,1992
9,Fort Peel River,1863-02-09 21:00:00,1863-02-09 21:00:00,1,Sm,wind_force_9pm,110,230382,2067,1992
10,Fort Peel River,1863-02-10 21:00:00,1863-02-10 21:00:00,2,Sm,wind_force_9pm,110,230381,2067,1992
11,Fort Peel River,1863-02-11 21:00:00,1863-02-11 21:00:00,2,Sm,wind_force_9pm,110,230380,2067,1992
12,Fort Peel River,1863-02-12 21:00:00,1863-02-12 21:00:00,-888,Sm,wind_force_9pm,110,230379,2067,1992
13,Fort Peel River,1863-02-13 21:00:00,1863-02-13 21:00:00,-888,Sm,wind_force_9pm,110,230378,2067,1992
14,Fort Peel River,1863-02-14 21:00:00,1863-02-14 21:00:00,-888,Sm,wind_force_9pm,110,230377,2067,1992
15,Fort Peel River,1863-02-15 21:00:00,1863-02-15 21:00:00,-888,Sm,wind_force_9pm,110,230375,2067,1992
16,Fort Peel River,1863-02-16 21:00:00,1863-02-16 21:00:00,1,Sm,wind_force_9pm,110,230374,2067,1992
17,Fort Peel River,1863-02-17 21:00:00,1863-02-17 21:00:00,1,Sm,wind_force_9pm,110,230373,2067,1992
18,Fort Peel River,1863-02-18 21:00:00,1863-02-18 21:00:00,1,Sm,wind_force_9pm,110,230372,2067,1992
19,Fort Peel River,1863-02-19 21:00:00,1863-02-19 21:00:00,1,Sm,wind_force_9pm,110,230371,2067,1992
20,Fort Peel River,1863-02-20 21:00:00,1863-02-20 21:00:00,1,Sm,wind_force_9pm,110,230370,2067,1992
21,Fort Peel River,1863-02-21 21:00:00,1863-02-21 21:00:00,0,Sm,wind_force_9pm,110,230369,2067,1992
22,Fort Peel River,1863-02-22 21:00:00,1863-02-22 21:00:00,0,Sm,wind_force_9pm,110,230368,2067,1992
23,Fort Peel River,1863-02-23 21:00:00,1863-02-23 21:00:00,0,Sm,wind_force_9pm,110,230367,2067,1992
24,Fort Peel River,1863-02-24 21:00:00,1863-02-24 21:00:00,1,Sm,wind_force_9pm,110,230366,2067,1992
25,Fort Peel River,1863-02-25 21:00:00,1863-02-25 21:00:00,1,Sm,wind_force_9pm,110,230365,2067,1992
26,Fort Peel River,1863-02-26 21:00:00,1863-02-26 21:00:00,1,Sm,wind_force_9pm,110,230364,2067,1992
27,Fort Peel River,1863-02-27 21:00:00,1863-02-27 21:00:00,1,Sm,wind_force_9pm,110,230363,2067,1992
