Date,Air_Temperature,Mean_Air_Temperature,Air_pressure_mean,Time_Rain_Snow_Began,Time_Rain_Snow_Ended,Accumulated_Precipitation,Snow_Depth,Wind_Direction,Wind_Force,Cloud_Amount,Cloud_Type,Cloud_Velocity,Upper_Cloud_Direction,Weather_Remarks
1859-09-20 00:00:00,,-999,,8:00 AM,at intervals all day,,,,,,,,,RA
1859-09-20 07:00:00,2.78,,,,,,,315,2,4.8,Cl6,,,
1859-09-20 14:00:00,7.22,,,,,,,0,3,4,Cl7,,,
1859-09-20 21:00:00,2.22,,,,,,,0,1,8,Cl7,,,
1859-09-21 00:00:00,,-999,,-999,-999,,,,,,,,,SH
1859-09-21 07:00:00,5.56,,,,,,,45,3,8,Cl7,,,
1859-09-21 14:00:00,7.22,,,,,,,315,3,6.4,Cl6,,,
1859-09-21 21:00:00,4.44,,,,,,,315,2,6.4,Cl6,,,
1859-09-22 00:00:00,,-999,,-999,-999,,,,,,,,,
1859-09-22 07:00:00,2.22,,,,,,,90,3,6.4,Cl6,,,
1859-09-22 14:00:00,8.89,,,,,,,45,2,4.8,Ch9,,,
1859-09-22 21:00:00,5.56,,,,,,,45,1,0.8,Cl6,,,
1859-09-23 00:00:00,,-999,,-999,-999,,,,,,,,,
1859-09-23 07:00:00,5.56,,,,,,,315,3,4.8,Ch8,,,
1859-09-23 14:00:00,10.56,,,,,,,135,2,2.4,Cl2,,,
1859-09-23 21:00:00,6.11,,,,,,,180,1,6.4,Cl7,,,
1859-09-24 00:00:00,,-999,,-999,-999,,,,,,,,,
1859-09-24 07:00:00,0.56,,,,,,,45,5,8,Cl7,,,
1859-09-24 14:00:00,6.67,,,,,,,315,5,4.8,Ch9,,,
1859-09-24 21:00:00,5.56,,,,,,,315,7,8,Cl7,,,
1859-09-25 00:00:00,,-999,,9:00 PM,con't?,,,,,,,,,RA
1859-09-25 07:00:00,0,,,,,,,135,3,6.4,Ch9,,,
1859-09-25 14:00:00,5.56,,,,,,,45,7,5.6,Ch9,,,
1859-09-25 21:00:00,3.33,,,,,,,45,1,4,Cl6,,,
1859-09-26 00:00:00,,-999,,con't?,6:00 AM,,,,,,,,,RA
1859-09-26 00:00:00,,-999,,con't?,6:00 AM,,,,,,,,,AU
1859-09-26 07:00:00,-0.56,,,,,,,315,2,8,Cl7,,,
1859-09-26 14:00:00,6.67,,,,,,,135,7,4.8,Cl6,,,
1859-09-26 21:00:00,3.89,,,,,,,135,2,7.2,Cl6,,,
1859-09-27 00:00:00,,-999,,-999,-999,,,,,,,,,
1859-09-27 07:00:00,0.56,,,,,,,315,1,4,Cl6,,,
1859-09-27 14:00:00,7.22,,,,,,,315,3,6.4,Cl7,,,
1859-09-27 21:00:00,3.33,,,,,,,270,7,5.6,Cl7,,,
1859-09-28 00:00:00,,-999,,3:00 AM,6:00 PM,-888,,,,,,,,SN
1859-09-28 07:00:00,1.11,,,,,,,315,3,8,Cl7,,,
1859-09-28 14:00:00,4.44,,,,,,,315,3,8,Cl2,,,
1859-09-28 21:00:00,5.56,,,,,,,315,7,4,Cl6,,,
1859-09-29 00:00:00,,-999,,10:00 AM,3:00 PM,-999,,,,,,,,SN
1859-09-29 07:00:00,1.67,,,,,,,315,2,4.8,Cl2,,,
1859-09-29 14:00:00,2.22,,,,,,,315,2,5.6,Cl2,,,
1859-09-29 21:00:00,-1.11,,,,,,,315,2,3.2,Cl6,,,
1859-09-30 00:00:00,,0.56,,9:00 PM,10:00 PM,-999,,,,,,,,RA
1859-09-30 07:00:00,-0.56,,,,,,,0,1,4.8,Ch9,,,
1859-09-30 14:00:00,1.67,,,,,,,45,1,4.8,Cl6,,,
1859-09-30 21:00:00,0.56,,,,,,,315,1,8,Cl7,,,
1859-11-01 00:00:00,,-999,,-999,-999,-999,,,,,,,,
1859-11-01 07:00:00,-10,,,,,,,315,3,2.4,Ch8,-999,,
1859-11-01 14:00:00,-8.89,,,,,,,315,2,4,Ch8,-999,,
1859-11-01 21:00:00,-9.44,,,,,,,315,2,1.6,Ch8,,,
1859-11-02 00:00:00,,-999,,-999,-999,-999,,,,,,,,
1859-11-02 07:00:00,-13.33,,,,,,,315,5,1.6,Cl6,,,
1859-11-02 14:00:00,-10,,,,,,,315,3,0.8,Cl6,,,
1859-11-02 21:00:00,-12.22,,,,,,,315,5,0.8,Cl6,,,
1859-11-03 00:00:00,,-8.71,,10:00 AM,4:00 PM,-999,-888,,,,,,,SN
1859-11-03 00:00:00,,-8.71,,10:00 AM,4:00 PM,-999,-888,,,,,,,HALO
1859-11-03 00:00:00,,-8.71,,10:00 AM,4:00 PM,-999,-888,,,,,,,-999
1859-11-03 00:00:00,,-8.71,,10:00 AM,4:00 PM,-999,-888,,,,,,,-999
1859-11-03 00:00:00,,-8.71,,10:00 AM,4:00 PM,-999,-888,,,,,,,-999
1859-11-03 00:00:00,,-8.71,,10:00 AM,4:00 PM,-999,-888,,,,,,,-999
1859-11-03 07:00:00,-10.56,,,,,,,315,8,8,Cl7,,,
1859-11-03 14:00:00,-6.67,,,,,,,315,9,8,Cl7,,,
1859-11-03 21:00:00,-8.89,,,,,,,315,9,4,Ch8,,,
1859-11-04 00:00:00,,,,11:00 AM,1:00 PM,-999,-999,,,,,,,SN
1859-11-04 00:00:00,,,,11:00 AM,1:00 PM,-999,-999,,,,,,,SN
1859-11-04 07:00:00,-13.33,,,,,,,315,1,2.4,Cl6,,,
1859-11-04 14:00:00,-8.89,,,,,,,315,5,1.6,Ch8,,,
1859-11-04 21:00:00,-12.22,,,,,,,0,8,0.8,Cl6,,,
1859-11-05 00:00:00,,,,-999,-999,-999,,,,,,,,
1859-11-05 07:00:00,-17.78,,,,,,,315,7,1.6,Ch8,,,
1859-11-05 14:00:00,-13.33,,,,,,,315,3,1.6,Ch8,,,
1859-11-05 21:00:00,-21.11,,,,,,,315,3,0.8,Cl6,,,
1859-11-06 00:00:00,,,,-999,-999,-999,,,,,,,,
1859-11-06 07:00:00,-24.44,,,,,,,315,1,1.6,Ch8,,,
1859-11-06 14:00:00,-20,,,,,,,315,1,1.6,Ch8,,,
1859-11-06 21:00:00,-23.33,,,,,,,315,2,1.6,Ch8,,,
1859-11-07 00:00:00,,,,-999,-999,-999,,,,,,,,AU
1859-11-07 07:00:00,-31.11,,,,,,,315,1,1.6,Cl6,,,
1859-11-07 14:00:00,-22.22,,,,,,,315,1,0.8,Cl6,,,
1859-11-07 21:00:00,-26.67,,,,,,,135,1,0.8,Cl6,,,
1859-11-08 00:00:00,,,,-999,-999,-999,,,,,,,,AU
1859-11-08 07:00:00,-31.67,,,,,,,135,3,0,-888,,,
1859-11-08 14:00:00,-23.33,,,,,,,135,3,0.8,Cl6,,,
1859-11-08 21:00:00,-27.78,,,,,,,135,2,0,-999,-999,,
1859-11-09 00:00:00,,,,-999,-999,-999,,,,,,,,AU
1859-11-09 07:00:00,-28.89,,,,,,,135,1,-888,Cl6,,,
1859-11-09 14:00:00,-22.22,,,,,,,135,2,0.8,Cl6,,,
1859-11-09 21:00:00,-18.89,,,,,,,135,3,0,-999,-999,,
1859-11-10 00:00:00,,,,-999,-999,-999,,,,,,,,AU
1859-11-10 07:00:00,-16.67,,,,,,,135,1,,-999,,,
1859-11-10 14:00:00,-12.22,,,,,,,135,3,0,-999,-999,,
1859-11-10 21:00:00,-15.56,,,,,,,135,3,1.6,Cl6,,,
1859-11-11 00:00:00,,-999,,-999,-999,-999,,,,,,,,
1859-11-11 07:00:00,-20,,,,,,,135,2,,Cl7,,,
1859-11-11 14:00:00,-17.78,,,,,,,270,1,4.8,Cl7,,,
1859-11-11 21:00:00,-23.33,,,,,,,270,1,0,-999,,,
1859-11-12 00:00:00,,-999,,-999,-999,-999,,,,,,,,
1859-11-12 07:00:00,-26.11,,,,,,,315,2,,Cl7,,,
1859-11-12 14:00:00,-22.22,,,,,,,315,5,7.2,Cl7,,,
1859-11-12 21:00:00,-21.11,,,,,,,315,1,3.2,Cl6,,,
1859-11-13 00:00:00,,,,-999,-999,-999,,,,,,,,
1859-11-13 07:00:00,-18.89,,,,,,,270,3,,Cl6,,,
1859-11-13 14:00:00,-21.11,,,,,,,315,3,6.4,Cl7,,,
1859-11-13 21:00:00,-22.22,,,,,,,135,2,7.2,Cl7,,,
1859-11-14 00:00:00,,,,1:00 PM,2:00 PM,-999,,,,,,,,
1859-11-14 07:00:00,-23.33,,,,,,,135,5,,Ch8,,,
1859-11-14 14:00:00,-22.78,,,,,,,135,8,3.2,Ch8,,,
1859-11-14 21:00:00,-26.67,,,,,,,135,9,8,Cl7,,,
1859-11-15 00:00:00,,,,-999,-999,-999,,,,,,,,
1859-11-15 07:00:00,-27.78,,,,,,,0,1,4,Ch8,,,
1859-11-15 14:00:00,-23.33,,,,,,,315,3,3.2,Ch8,,,
1859-11-15 21:00:00,-24.44,,,,,,,315,1,3.2,Ch8,,,
1859-11-16 00:00:00,,,,-888,-888,-888,,,,,,,,
1859-11-16 07:00:00,-18.89,,,,,,,315,5,,Ch8,,,
1859-11-16 14:00:00,-17.78,,,,,,,315,7,1.6,Ch8,-999,,
1859-11-16 21:00:00,-19.44,,,,,,,315,7,1.6,Cl6,,,
1859-11-17 00:00:00,,,,-888,-888,-888,,,,,,,,
1859-11-17 07:00:00,-20.56,,,,,,,315,1,,Cl7,,,
1859-11-17 14:00:00,-16.67,,,,,,,180,3,5.6,-888,,,
1859-11-17 21:00:00,-888,,,,,,,-888,3,4,Cl6,,,
1859-11-18 00:00:00,,,,-888,-888,-888,,,,,,,,
1859-11-18 07:00:00,-18.89,,,,,,,315,3,,Cl7,,,
1859-11-18 14:00:00,-17.78,,,,,,,135,2,4.8,Ch8,,,
1859-11-18 21:00:00,,,,,,,,-888,-888,-888,-888,,,
1859-11-19 00:00:00,,,,-888,-888,-888,,,,,,,,-999
1859-11-19 00:00:00,,,,-888,-888,-888,,,,,,,,-999
1859-11-19 00:00:00,,,,-888,-888,-888,,,,,,,,-999
1859-11-19 00:00:00,,,,-888,-888,-888,,,,,,,,-999
1859-11-19 00:00:00,,,,-888,-888,-888,,,,,,,,-999
1859-11-19 07:00:00,-18.89,,,,,,,135,5,6.4,Cl7,-999,-999,
1859-11-19 14:00:00,-17.22,,,,,,,135,5,5.6,Cl7,,,
1859-11-19 21:00:00,-888,,,,,,,135,-888,-888,-888,,,
1859-11-20 00:00:00,,,,3:00 AM,-888,-888,-888,,,,,,,SN
1859-11-20 00:00:00,,,,3:00 AM,-888,-888,-888,,,,,,,AU
1859-11-20 00:00:00,,,,3:00 AM,-888,-888,-888,,,,,,,-999
1859-11-20 00:00:00,,,,3:00 AM,-888,-888,-888,,,,,,,-999
1859-11-20 00:00:00,,,,3:00 AM,-888,-888,-888,,,,,,,-999
