"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Kinogumissee","49.8","-84","276","America/Thunder_Bay","5","71832","6075543"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
1860-12-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,-12.22,NA,NA
1860-12-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
1860-12-02,NA,NA,NA,NA,NA,NA,NA,NA,-8.33,NA
1860-12-02 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA
1860-12-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1860-12-02 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,-3.89,NA,NA
1860-12-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1860-12-02 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,-11.11,NA,NA
1860-12-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-03,NA,NA,NA,NA,NA,NA,NA,NA,-6.67,NA
1860-12-03 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,-8.89,NA,NA
1860-12-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-03 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,-6.11,NA,NA
1860-12-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-03 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA
1860-12-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-04 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,-9.44,NA,NA
1860-12-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-04 14:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,-5.56,NA,NA
1860-12-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-04 21:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,-9.44,NA,NA
1860-12-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-05 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,-9.44,NA,NA
1860-12-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-05 14:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,-6.11,NA,NA
1860-12-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-05 21:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA
1860-12-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-06 07:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,-6.11,NA,NA
1860-12-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-06 14:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,-4.44,NA,NA
1860-12-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-06 21:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,-8.89,NA,NA
1860-12-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-07 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,-10.56,NA,NA
1860-12-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-07 14:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,-6.67,NA,NA
1860-12-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-07 21:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,-10.56,NA,NA
1860-12-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-08,NA,NA,NA,NA,NA,NA,NA,NA,-12.22,NA
1860-12-08 07:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,-16.11,NA,NA
1860-12-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-08 14:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,-12.22,NA,NA
1860-12-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-08 21:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,-8.33,NA,NA
1860-12-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-09,NA,NA,NA,NA,NA,NA,NA,NA,-7.22,NA
1860-12-09 07:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,-12.78,NA,NA
1860-12-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-09 14:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA
1860-12-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-09 21:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,-6.67,NA,NA
1860-12-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-10 07:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,-6.11,NA,NA
1860-12-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-10 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,-8.33,NA,NA
1860-12-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1860-12-10 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,-16.11,NA,NA
1860-12-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
1860-12-11,NA,NA,NA,NA,NA,NA,NA,NA,-15,NA
1860-12-11 07:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,-19.44,NA,NA
1860-12-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-11 14:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,-12.22,NA,NA
1860-12-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-11 21:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,-13.33,NA,NA
1860-12-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1860-12-12,NA,NA,NA,NA,NA,NA,NA,NA,-12.78,NA
1860-12-12 07:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,-11.67,NA,NA
1860-12-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-12 14:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,-9.44,NA,NA
1860-12-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
1860-12-12 21:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,-17.22,NA,NA
1860-12-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1860-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-13 07:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,-22.78,NA,NA
1860-12-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
1860-12-13 14:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,-22.22,NA,NA
1860-12-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
1860-12-13 21:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,-27.22,NA,NA
1860-12-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1860-12-14,NA,NA,NA,NA,NA,NA,NA,NA,-28.33,NA
1860-12-14 07:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,-37.22,NA,NA
1860-12-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-14 14:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,-23.33,NA,NA
1860-12-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-14 21:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,-24.44,NA,NA
1860-12-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-15 07:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,-17.78,NA,NA
1860-12-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1860-12-15 14:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,-11.67,NA,NA
1860-12-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
1860-12-15 21:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,-11.11,NA,NA
1860-12-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
1860-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-16 07:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-16 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-16 07:00:00,NA,NA,NA,NA,NA,NA,NA,-8.89,NA,NA
1860-12-16 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
1860-12-16 14:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-16 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-16 14:00:00,NA,NA,NA,NA,NA,NA,NA,-13.89,NA,NA
1860-12-16 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
1860-12-16 21:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-16 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-16 21:00:00,NA,NA,NA,NA,NA,NA,NA,-26.67,NA,NA
1860-12-16 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-17,NA,NA,NA,NA,NA,NA,NA,NA,-26.11,NA
1860-12-17 07:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-17 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-17 07:00:00,NA,NA,NA,NA,NA,NA,NA,-33.33,NA,NA
1860-12-17 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-17 14:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-17 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-17 14:00:00,NA,NA,NA,NA,NA,NA,NA,-25.56,NA,NA
1860-12-17 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-17 21:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-17 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-17 21:00:00,NA,NA,NA,NA,NA,NA,NA,-19.44,NA,NA
1860-12-17 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-18 07:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-18 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-18 07:00:00,NA,NA,NA,NA,NA,NA,NA,-31.67,NA,NA
1860-12-18 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-18 14:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-18 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-18 14:00:00,NA,NA,NA,NA,NA,NA,NA,-26.67,NA,NA
1860-12-18 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-18 21:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,-12.22,NA,NA
1860-12-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-19,NA,NA,NA,NA,NA,NA,NA,NA,-6.11,NA
1860-12-19 07:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-19 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-19 07:00:00,NA,NA,NA,NA,NA,NA,NA,-8.33,NA,NA
1860-12-19 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-19 14:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-19 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-19 14:00:00,NA,NA,NA,NA,NA,NA,NA,-5.56,NA,NA
1860-12-19 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1860-12-19 21:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-19 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-19 21:00:00,NA,NA,NA,NA,NA,NA,NA,-4.44,NA,NA
1860-12-19 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-20,NA,NA,NA,NA,NA,NA,NA,NA,-8.33,NA
1860-12-20 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-20 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-20 07:00:00,NA,NA,NA,NA,NA,NA,NA,-4.44,NA,NA
1860-12-20 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1860-12-20 14:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-20 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-20 14:00:00,NA,NA,NA,NA,NA,NA,NA,-5.56,NA,NA
1860-12-20 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
1860-12-20 21:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-20 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-20 21:00:00,NA,NA,NA,NA,NA,NA,NA,-15,NA,NA
1860-12-20 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
1860-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-21 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-21 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-21 07:00:00,NA,NA,NA,NA,NA,NA,NA,-18.89,NA,NA
1860-12-21 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-21 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-21 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-21 14:00:00,NA,NA,NA,NA,NA,NA,NA,-12.78,NA,NA
1860-12-21 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-21 21:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-21 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-21 21:00:00,NA,NA,NA,NA,NA,NA,NA,-19.44,NA,NA
1860-12-21 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-22,NA,NA,NA,NA,NA,NA,NA,NA,-15.56,NA
1860-12-22 07:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-22 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-22 07:00:00,NA,NA,NA,NA,NA,NA,NA,-20.56,NA,NA
1860-12-22 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-22 14:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-22 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-22 14:00:00,NA,NA,NA,NA,NA,NA,NA,-18.89,NA,NA
1860-12-22 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-22 21:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-22 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-22 21:00:00,NA,NA,NA,NA,NA,NA,NA,-7.22,NA,NA
1860-12-22 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1860-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-23 07:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-23 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-23 07:00:00,NA,NA,NA,NA,NA,NA,NA,-6.67,NA,NA
1860-12-23 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-23 14:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-23 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-23 14:00:00,NA,NA,NA,NA,NA,NA,NA,-9.44,NA,NA
1860-12-23 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-23 21:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-23 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-23 21:00:00,NA,NA,NA,NA,NA,NA,NA,-17.78,NA,NA
1860-12-23 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-24 07:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-24 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-24 07:00:00,NA,NA,NA,NA,NA,NA,NA,-23.89,NA,NA
1860-12-24 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1860-12-24 14:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-24 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-24 14:00:00,NA,NA,NA,NA,NA,NA,NA,-6.67,NA,NA
1860-12-24 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
