"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"AbitibiPost","48.6","-79.3",NA,"America/Toronto","5","71734","7090050"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","ptb","pte","ta","w"
1868-01-01,NA,"6 pm",NA,NA,NA
1868-01-01,NA,NA,"8 pm",NA,NA
1868-01-01 07:00:00,180,NA,NA,NA,NA
1868-01-01 07:00:00,NA,NA,NA,-11.11,NA
1868-01-01 07:00:00,NA,NA,NA,NA,2
1868-01-01 14:00:00,180,NA,NA,NA,NA
1868-01-01 14:00:00,NA,NA,NA,-3.89,NA
1868-01-01 14:00:00,NA,NA,NA,NA,2
1868-01-01 21:00:00,180,NA,NA,NA,NA
1868-01-01 21:00:00,NA,NA,NA,-3.89,NA
1868-01-01 21:00:00,NA,NA,NA,NA,0
1868-01-02,NA,"empty","empty",NA,NA
1868-01-02 07:00:00,135,NA,NA,NA,NA
1868-01-02 07:00:00,NA,NA,NA,-3.89,NA
1868-01-02 07:00:00,NA,NA,NA,NA,2
1868-01-02 14:00:00,157.5,NA,NA,NA,NA
1868-01-02 14:00:00,NA,NA,NA,-3.89,NA
1868-01-02 14:00:00,NA,NA,NA,NA,2
1868-01-02 21:00:00,90,NA,NA,NA,NA
1868-01-02 21:00:00,NA,NA,NA,-6.67,NA
1868-01-02 21:00:00,NA,NA,NA,NA,0
1868-01-03,NA,"empty","empty",NA,NA
1868-01-03 07:00:00,135,NA,NA,NA,NA
1868-01-03 07:00:00,NA,NA,NA,-9.44,NA
1868-01-03 07:00:00,NA,NA,NA,NA,2
1868-01-03 14:00:00,67.5,NA,NA,NA,NA
1868-01-03 14:00:00,NA,NA,NA,-6.67,NA
1868-01-03 14:00:00,NA,NA,NA,NA,2
1868-01-03 21:00:00,90,NA,NA,NA,NA
1868-01-03 21:00:00,NA,NA,NA,-12.22,NA
1868-01-03 21:00:00,NA,NA,NA,NA,0
1868-01-04,NA,"empty","empty",NA,NA
1868-01-04 07:00:00,45,NA,NA,NA,NA
1868-01-04 07:00:00,NA,NA,NA,-17.78,NA
1868-01-04 07:00:00,NA,NA,NA,NA,1
1868-01-04 14:00:00,45,NA,NA,NA,NA
1868-01-04 14:00:00,NA,NA,NA,-12.78,NA
1868-01-04 14:00:00,NA,NA,NA,NA,1
1868-01-04 21:00:00,0,NA,NA,NA,NA
1868-01-04 21:00:00,NA,NA,NA,-22.78,NA
1868-01-04 21:00:00,NA,NA,NA,NA,0
1868-01-05,NA,"empty","empty",NA,NA
1868-01-05 07:00:00,0,NA,NA,NA,NA
1868-01-05 07:00:00,NA,NA,NA,-26.11,NA
1868-01-05 07:00:00,NA,NA,NA,NA,1
1868-01-05 14:00:00,0,NA,NA,NA,NA
1868-01-05 14:00:00,NA,NA,NA,-20.56,NA
1868-01-05 14:00:00,NA,NA,NA,NA,1
1868-01-05 21:00:00,0,NA,NA,NA,NA
1868-01-05 21:00:00,NA,NA,NA,-26.11,NA
1868-01-05 21:00:00,NA,NA,NA,NA,0
1868-01-06,NA,"empty","empty",NA,NA
1868-01-06 07:00:00,0,NA,NA,NA,NA
1868-01-06 07:00:00,NA,NA,NA,-30.56,NA
1868-01-06 07:00:00,NA,NA,NA,NA,1
1868-01-06 14:00:00,0,NA,NA,NA,NA
1868-01-06 14:00:00,NA,NA,NA,-19.44,NA
1868-01-06 14:00:00,NA,NA,NA,NA,1
1868-01-06 21:00:00,0,NA,NA,NA,NA
1868-01-06 21:00:00,NA,NA,NA,-29.44,NA
1868-01-06 21:00:00,NA,NA,NA,NA,0
1868-01-07,NA,"empty","empty",NA,NA
1868-01-07 07:00:00,90,NA,NA,NA,NA
1868-01-07 07:00:00,NA,NA,NA,-22.22,NA
1868-01-07 07:00:00,NA,NA,NA,NA,2
1868-01-07 14:00:00,135,NA,NA,NA,NA
1868-01-07 14:00:00,NA,NA,NA,-11.11,NA
1868-01-07 14:00:00,NA,NA,NA,NA,2
1868-01-07 21:00:00,90,NA,NA,NA,NA
1868-01-07 21:00:00,NA,NA,NA,-11.11,NA
1868-01-07 21:00:00,NA,NA,NA,NA,0
1868-01-08,NA,"empty","empty",NA,NA
1868-01-08 07:00:00,225,NA,NA,NA,NA
1868-01-08 07:00:00,NA,NA,NA,-12.22,NA
1868-01-08 07:00:00,NA,NA,NA,NA,5
1868-01-08 14:00:00,0,NA,NA,NA,NA
1868-01-08 14:00:00,NA,NA,NA,-12.22,NA
1868-01-08 14:00:00,NA,NA,NA,NA,5
1868-01-08 21:00:00,45,NA,NA,NA,NA
1868-01-08 21:00:00,NA,NA,NA,-15,NA
1868-01-08 21:00:00,NA,NA,NA,NA,0
1868-01-09,NA,"empty","empty",NA,NA
1868-01-09 07:00:00,0,NA,NA,NA,NA
1868-01-09 07:00:00,NA,NA,NA,-20,NA
1868-01-09 07:00:00,NA,NA,NA,NA,5
1868-01-09 14:00:00,0,NA,NA,NA,NA
1868-01-09 14:00:00,NA,NA,NA,-20.56,NA
1868-01-09 14:00:00,NA,NA,NA,NA,5
1868-01-09 21:00:00,NA,NA,NA,NA,NA
1868-01-09 21:00:00,NA,NA,NA,-27.78,NA
1868-01-09 21:00:00,NA,NA,NA,NA,0
1868-01-10,NA,"empty","empty",NA,NA
1868-01-10 07:00:00,315,NA,NA,NA,NA
1868-01-10 07:00:00,NA,NA,NA,-37.22,NA
1868-01-10 07:00:00,NA,NA,NA,NA,1
1868-01-10 14:00:00,315,NA,NA,NA,NA
1868-01-10 14:00:00,NA,NA,NA,-22.78,NA
1868-01-10 14:00:00,NA,NA,NA,NA,1
1868-01-10 21:00:00,NA,NA,NA,NA,NA
1868-01-10 21:00:00,NA,NA,NA,-35.56,NA
1868-01-10 21:00:00,NA,NA,NA,NA,0
1868-01-11,NA,"empty","empty",NA,NA
1868-01-11 07:00:00,315,NA,NA,NA,NA
1868-01-11 07:00:00,NA,NA,NA,-40,NA
1868-01-11 07:00:00,NA,NA,NA,NA,1
1868-01-11 14:00:00,315,NA,NA,NA,NA
1868-01-11 14:00:00,NA,NA,NA,-26.11,NA
1868-01-11 14:00:00,NA,NA,NA,NA,5
1868-01-11 21:00:00,NA,NA,NA,NA,NA
1868-01-11 21:00:00,NA,NA,NA,-26.11,NA
1868-01-11 21:00:00,NA,NA,NA,NA,0
1868-01-12,NA,"empty","empty",NA,NA
1868-01-12 07:00:00,315,NA,NA,NA,NA
1868-01-12 07:00:00,NA,NA,NA,-30,NA
1868-01-12 07:00:00,NA,NA,NA,NA,5
1868-01-12 14:00:00,315,NA,NA,NA,NA
1868-01-12 14:00:00,NA,NA,NA,-21.67,NA
1868-01-12 14:00:00,NA,NA,NA,NA,5
1868-01-12 21:00:00,NA,NA,NA,NA,NA
1868-01-12 21:00:00,NA,NA,NA,-23.33,NA
1868-01-12 21:00:00,NA,NA,NA,NA,0
