"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"HalifaxCH","44.65","-63.6","53","America/Halifax","4","71327","8202220"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_range","air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"tdb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Tx","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Txs","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","dd","p","pr","ta","ta_range","tb","tdb","Tn","Tx","Txs","w","ww"
1854-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",RA NA"
1854-01-01 06:00:00,NA,NA,1013.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-01 09:00:00,NA,NA,NA,NA,12.78,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-01 09:00:00,NA,NA,NA,NA,NA,NA,-1.89,NA,NA,NA,NA,NA,NA
1854-01-01 09:00:00,NA,NA,NA,NA,NA,NA,NA,-0.89,NA,NA,NA,NA,NA
1854-01-01 12:00:00,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-01 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-01 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",FG NA"
1854-01-01 14:00:00,NA,NA,NA,NA,NA,NA,3.11,NA,NA,NA,NA,NA,NA
1854-01-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,3.89,NA,NA,NA,NA,NA
1854-01-01 15:00:00,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-01 15:00:00,NA,NA,NA,NA,12.22,NA,NA,NA,NA,NA,NA,NA,NA
1854-01-01 21:00:00,NA,NA,NA,NA,NA,NA,5.22,NA,NA,NA,NA,NA,NA
1854-01-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,5.78,NA,NA,NA,NA,NA
