"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortalaCarne","53.2","-104.8","44.0","America/Regina","6","71456","4074640"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","cv","dd","pr","ptb","pte","sd","ta","w"
1864-11-10,NA,NA,0.635,NA,NA,6.35,NA,NA
1864-11-10,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-10 07:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-10 07:00:00,NA,0,NA,NA,NA,NA,NA,NA
1864-11-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-10 07:00:00,NA,NA,NA,NA,NA,NA,-6.67,NA
1864-11-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,1
1864-11-10 14:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-10 14:00:00,NA,45,NA,NA,NA,NA,NA,NA
1864-11-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-10 14:00:00,NA,NA,NA,NA,NA,NA,-2.78,NA
1864-11-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,2
1864-11-10 21:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-10 21:00:00,NA,45,NA,NA,NA,NA,NA,NA
1864-11-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-10 21:00:00,NA,NA,NA,NA,NA,NA,-1.11,NA
1864-11-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,5
1864-11-11,NA,NA,NA,"7 am",NA,NA,NA,NA
1864-11-11,NA,NA,NA,NA,"11 am",NA,NA,NA
1864-11-11,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-11,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-11,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-11 07:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-11 07:00:00,NA,0,NA,NA,NA,NA,NA,NA
1864-11-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-11 07:00:00,NA,NA,NA,NA,NA,NA,-6.67,NA
1864-11-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,2
1864-11-11 14:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-11 14:00:00,NA,0,NA,NA,NA,NA,NA,NA
1864-11-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-11 14:00:00,NA,NA,NA,NA,NA,NA,-2.78,NA
1864-11-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,2
1864-11-11 21:00:00,2,NA,NA,NA,NA,NA,NA,NA
1864-11-11 21:00:00,NA,315,NA,NA,NA,NA,NA,NA
1864-11-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-11 21:00:00,NA,NA,NA,NA,NA,NA,-4.44,NA
1864-11-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,1
1864-11-12,NA,NA,NA,"5 pm",NA,NA,NA,NA
1864-11-12,NA,NA,NA,NA,"6 pm",NA,NA,NA
1864-11-12,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-12,NA,NA,1.27,NA,NA,12.7,NA,NA
1864-11-12 07:00:00,0,NA,NA,NA,NA,NA,NA,NA
