"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Clifton","43.12","-79.07",NA,"America/Toronto","5","71171","6135638"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"Tx","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","ta","ta_mean","Tx","ww"
1868-03-04 21:00:00,NA,NA,NA,",SKC NA"
1868-03-05,NA,-2.22,NA,NA
1868-03-05,NA,NA,NA,NA
1868-03-05,NA,NA,NA,NA
1868-03-05 07:00:00,-8.89,NA,NA,NA
1868-03-05 07:00:00,NA,NA,NA,",SKC NA"
1868-03-05 14:00:00,3.33,NA,NA,NA
1868-03-05 14:00:00,NA,NA,NA,",SKC NA"
1868-03-05 21:00:00,-1.11,NA,NA,NA
1868-03-05 21:00:00,NA,NA,NA,",SKC NA"
1868-03-06,NA,3.89,NA,NA
1868-03-06,NA,NA,NA,NA
1868-03-06,NA,NA,NA,NA
1868-03-06,NA,NA,NA,NA
1868-03-06 07:00:00,3.33,NA,NA,NA
1868-03-06 07:00:00,NA,NA,NA,",RA NA"
1868-03-06 14:00:00,5,NA,NA,NA
1868-03-06 14:00:00,NA,NA,NA,",RA NA"
1868-03-06 21:00:00,3.33,NA,NA,NA
1868-03-06 21:00:00,NA,NA,NA,",RA NA"
1868-03-07,NA,5.56,NA,NA
1868-03-07,NA,NA,NA,NA
1868-03-07,NA,NA,NA,NA
1868-03-07 07:00:00,4.44,NA,NA,NA
1868-03-07 07:00:00,NA,NA,NA,",RA NA"
1868-03-07 14:00:00,6.67,NA,NA,NA
1868-03-07 14:00:00,NA,NA,NA,",RA NA"
1868-03-07 21:00:00,5.56,NA,NA,NA
1868-03-07 21:00:00,NA,NA,NA,",OVC NA"
1868-03-08,NA,4.44,NA,NA
1868-03-08,NA,NA,NA,NA
1868-03-08,NA,NA,NA,NA
1868-03-08 07:00:00,4.44,NA,NA,NA
1868-03-08 07:00:00,NA,NA,NA,",SKC NA"
1868-03-08 14:00:00,6.67,NA,NA,NA
1868-03-08 14:00:00,NA,NA,NA,",BKN NA"
1868-03-08 21:00:00,3.33,NA,NA,NA
1868-03-08 21:00:00,NA,NA,NA,",SKC NA"
1868-03-09,NA,4.44,NA,NA
1868-03-09,NA,NA,NA,NA
1868-03-09,NA,NA,NA,NA
1868-03-09 07:00:00,3.33,NA,NA,NA
1868-03-09 07:00:00,NA,NA,NA,",SKC NA"
1868-03-09 14:00:00,8.89,NA,NA,NA
1868-03-09 14:00:00,NA,NA,NA,",OVC NA"
1868-03-09 21:00:00,2.22,NA,NA,NA
1868-03-09 21:00:00,NA,NA,NA,",OVC NA"
1868-03-10,NA,3.89,NA,NA
1868-03-10,NA,NA,NA,NA
1868-03-10 07:00:00,2.22,NA,NA,NA
1868-03-10 07:00:00,NA,NA,NA,",OVC NA"
1868-03-10 14:00:00,7.78,NA,NA,NA
1868-03-10 14:00:00,NA,NA,NA,",RA NA"
1868-03-10 21:00:00,2.22,NA,NA,NA
1868-03-10 21:00:00,NA,NA,NA,",OVC NA"
1868-03-11,NA,-1.11,NA,NA
1868-03-11,NA,NA,NA,NA
1868-03-11,NA,NA,NA,NA
1868-03-11 07:00:00,-2.78,NA,NA,NA
1868-03-11 07:00:00,NA,NA,NA,",SKC NA"
1868-03-11 14:00:00,1.11,NA,NA,NA
1868-03-11 14:00:00,NA,NA,NA,",SKC NA"
1868-03-11 21:00:00,-0.56,NA,NA,NA
1868-03-11 21:00:00,NA,NA,NA,",SKC NA"
1868-03-12,NA,3.89,NA,NA
1868-03-12,NA,NA,NA,NA
1868-03-12 07:00:00,-1.11,NA,NA,NA
1868-03-12 07:00:00,NA,NA,NA,",RA NA"
1868-03-12 14:00:00,6.67,NA,NA,NA
1868-03-12 14:00:00,NA,NA,NA,",RA NA"
1868-03-12 21:00:00,6.67,NA,NA,NA
1868-03-12 21:00:00,NA,NA,NA,",RA NA"
1868-03-13,NA,6.11,NA,NA
1868-03-13,NA,NA,NA,NA
1868-03-13 07:00:00,4.44,NA,NA,NA
1868-03-13 07:00:00,NA,NA,NA,",BKN NA"
1868-03-13 14:00:00,7.78,NA,NA,NA
1868-03-13 14:00:00,NA,NA,NA,",OVC NA"
1868-03-13 21:00:00,6.11,NA,NA,NA
1868-03-13 21:00:00,NA,NA,NA,",OVC NA"
1868-03-14,NA,7.22,NA,NA
1868-03-14,NA,NA,NA,NA
1868-03-14 07:00:00,1.67,NA,NA,NA
1868-03-14 07:00:00,NA,NA,NA,",BKN NA"
1868-03-14 14:00:00,12.78,NA,NA,NA
1868-03-14 14:00:00,NA,NA,NA,",OVC NA"
1868-03-14 21:00:00,8.33,NA,NA,NA
1868-03-14 21:00:00,NA,NA,NA,",RA NA"
1868-03-15,NA,10,NA,NA
1868-03-15,NA,NA,NA,NA
1868-03-15 07:00:00,8.89,NA,NA,NA
1868-03-15 07:00:00,NA,NA,NA,",BKN NA"
1868-03-15 14:00:00,14.44,NA,NA,NA
1868-03-15 14:00:00,NA,NA,NA,",SKC NA"
1868-03-15 21:00:00,7.22,NA,NA,NA
1868-03-15 21:00:00,NA,NA,NA,",BKN NA"
1868-03-16,NA,10,NA,NA
1868-03-16,NA,NA,NA,NA
1868-03-16 07:00:00,7.78,NA,NA,NA
1868-03-16 07:00:00,NA,NA,NA,",BKN NA"
1868-03-16 14:00:00,12.78,NA,NA,NA
1868-03-16 14:00:00,NA,NA,NA,",RA NA"
1868-03-16 21:00:00,10.56,NA,NA,NA
1868-03-16 21:00:00,NA,NA,NA,",HZ NA"
1868-03-17,NA,12.78,NA,NA
1868-03-17,NA,NA,NA,NA
1868-03-17 07:00:00,12.22,NA,NA,NA
1868-03-17 07:00:00,NA,NA,NA,",BKN NA"
1868-03-17 14:00:00,17.78,NA,NA,NA
1868-03-17 14:00:00,NA,NA,NA,",RA NA"
1868-03-17 21:00:00,8.89,NA,NA,NA
1868-03-17 21:00:00,NA,NA,NA,",BKN NA"
1868-03-18,NA,0.56,NA,NA
1868-03-18,NA,NA,NA,NA
1868-03-18,NA,NA,NA,NA
1868-03-18 07:00:00,1.11,NA,NA,NA
1868-03-18 07:00:00,NA,NA,NA,",BKN NA"
1868-03-18 14:00:00,2.22,NA,NA,NA
1868-03-18 14:00:00,NA,NA,NA,",SKC NA"
1868-03-18 21:00:00,-0.56,NA,NA,NA
1868-03-18 21:00:00,NA,NA,NA,",SKC NA"
1868-03-19,NA,1.11,NA,NA
1868-03-19,NA,NA,NA,NA
1868-03-19,NA,NA,NA,NA
1868-03-19 07:00:00,-2.22,NA,NA,NA
1868-03-19 07:00:00,NA,NA,NA,",SKC NA"
1868-03-19 14:00:00,4.44,NA,NA,NA
1868-03-19 14:00:00,NA,NA,NA,",BKN NA"
1868-03-19 21:00:00,1.11,NA,NA,NA
1868-03-19 21:00:00,NA,NA,NA,",OVC NA"
1868-03-20,NA,1.67,NA,NA
1868-03-20,NA,NA,NA,NA
1868-03-20 07:00:00,0,NA,NA,NA
1868-03-20 07:00:00,NA,NA,NA,",OVC NA"
1868-03-20 14:00:00,4.44,NA,NA,NA
1868-03-20 14:00:00,NA,NA,NA,",OVC NA"
1868-03-20 21:00:00,1.11,NA,NA,NA
1868-03-20 21:00:00,NA,NA,NA,",OVC NA"
1868-03-21,NA,-3.89,NA,NA
1868-03-21,NA,NA,NA,NA
1868-03-21 07:00:00,-4.44,NA,NA,NA
1868-03-21 07:00:00,NA,NA,NA,",OVC NA"
1868-03-21 14:00:00,-2.22,NA,NA,NA
1868-03-21 14:00:00,NA,NA,NA,",OVC NA"
1868-03-21 21:00:00,-4.44,NA,NA,NA
1868-03-21 21:00:00,NA,NA,NA,",SKC NA"
1868-03-22,NA,-1.67,NA,NA
1868-03-22,NA,NA,NA,NA
1868-03-22,NA,NA,NA,NA
1868-03-22 07:00:00,-4.44,NA,NA,NA
1868-03-22 07:00:00,NA,NA,NA,",SKC NA"
1868-03-22 14:00:00,2.22,NA,NA,NA
1868-03-22 14:00:00,NA,NA,NA,",SKC NA"
1868-03-22 21:00:00,-2.22,NA,NA,NA
1868-03-22 21:00:00,NA,NA,NA,",SKC NA"
1868-03-23,NA,7.22,NA,NA
1868-03-23,NA,NA,NA,NA
1868-03-23,NA,NA,NA,NA
1868-03-23 07:00:00,2.22,NA,NA,NA
1868-03-23 07:00:00,NA,NA,NA,",SKC NA"
1868-03-23 14:00:00,12.22,NA,NA,NA
1868-03-23 14:00:00,NA,NA,NA,",SKC NA"
1868-03-23 21:00:00,7.78,NA,NA,NA
1868-03-23 21:00:00,NA,NA,NA,",OVC NA"
1868-03-24,NA,3.33,NA,NA
1868-03-24,NA,NA,NA,NA
1868-03-24,NA,NA,NA,NA
1868-03-24 07:00:00,2.22,NA,NA,NA
1868-03-24 07:00:00,NA,NA,NA,",SKC NA"
1868-03-24 14:00:00,4.44,NA,NA,NA
1868-03-24 14:00:00,NA,NA,NA,",SKC NA"
1868-03-24 21:00:00,4.44,NA,NA,NA
1868-03-24 21:00:00,NA,NA,NA,",SKC NA"
1868-03-25,NA,4.44,NA,NA
1868-03-25,NA,NA,NA,NA
1868-03-25,NA,NA,NA,NA
1868-03-25 07:00:00,2.22,NA,NA,NA
1868-03-25 07:00:00,NA,NA,NA,",SKC NA"
1868-03-25 14:00:00,6.67,NA,NA,NA
1868-03-25 14:00:00,NA,NA,NA,",SKC NA"
1868-03-25 21:00:00,4.44,NA,NA,NA
1868-03-25 21:00:00,NA,NA,NA,",SKC NA"
1868-03-26,NA,4.44,NA,NA
1868-03-26,NA,NA,NA,NA
1868-03-26,NA,NA,NA,NA
1868-03-26 07:00:00,2.22,NA,NA,NA
1868-03-26 07:00:00,NA,NA,NA,",SKC NA"
1868-03-26 14:00:00,6.67,NA,NA,NA
1868-03-26 14:00:00,NA,NA,NA,",SKC NA"
1868-03-26 21:00:00,4.44,NA,NA,NA
1868-03-26 21:00:00,NA,NA,NA,",SKC NA"
1868-03-27,NA,7.78,NA,NA
1868-03-27,NA,NA,NA,NA
1868-03-27,NA,NA,NA,NA
1868-03-27 07:00:00,4.44,NA,NA,NA
1868-03-27 07:00:00,NA,NA,NA,",SKC NA"
1868-03-27 14:00:00,12.22,NA,NA,NA
1868-03-27 14:00:00,NA,NA,NA,",SKC NA"
1868-03-27 21:00:00,6.67,NA,NA,NA
1868-03-27 21:00:00,NA,NA,NA,",SKC NA"
1868-03-28,NA,8.89,NA,NA
1868-03-28,NA,NA,NA,NA
1868-03-28,NA,NA,NA,NA
