	TranscriptionID: 1397 Invalid data: illegible on 1862-04-04 	Field: 85 - Pressure_7AM
	TranscriptionID: 1372 Invalid data: The Aur Borealis E to N low but very bright on 1861-01-07  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1372 Invalid data: The Aur. Borealis E to N on 1861-01-08  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1372 Invalid data: The Aur Borealis E to W very bright on 1861-01-09  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1372 Invalid data: The Aur. Borealis E to N low on 1861-01-10  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1372 Invalid data: The Aur Borealis very bright all over on 1861-01-12  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1372 Invalid data: The Aur. Borealis very bright all over on 1861-01-13  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1372 Invalid data: The Aur. Borealist very bright all over on 1861-01-14  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1372 Invalid data: The Sun rose very red on 1861-01-15  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1372 Invalid data: The Aur Borealis from E to N on 1861-01-16  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1372 Invalid data: The Aur. Borealis from E to W low on 1861-01-17  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1372 Invalid data: The Aur Borealis very bright all over on 1861-01-23  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1372 Invalid data: The Aur. Borealis very bright all over and low on the South on 1861-01-24  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1372 Invalid data: The Aur. Borealis very bright E to N on 1861-01-26  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1372 Invalid data: The Aur. Borealis on 1861-01-27  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1377 Invalid data: Aur Borealis N to E on 1861-02-09  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1377 Invalid data: Aur Borealis very bright all over on 1861-02-10  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1377 Invalid data: Aur. Borealis very bright all over on 1861-02-11  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1377 Invalid data: Aur. Borealis N to E low on 1861-02-14  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1377 Invalid data: Aur Borealis N to E low on 1861-02-15  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1377 Invalid data: Aur Borealis very bright all over on 1861-02-16  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1377 Invalid data: Aur Borealis N to E on 1861-02-18  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1377 Invalid data: Aur Borealis very bright all over on 1861-02-27  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1377 Invalid data: Aur Boraelis very bright all over on 1861-02-28  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1378 Invalid data: The Aur. Borealis E but low on 1861-03-05  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1378 Invalid data: The Aur Bor E to W at 12pm on 1861-03-06  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1378 Invalid data: The Aur Borealis very bright E to N 9 pm on 1861-03-11  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1378 Invalid data: The Aur. Borealis very bright SE to W at 7pm on 1861-03-14  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1378 Invalid data: the Aur.Bor very bright all over on 1861-03-19  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1378 Invalid data: The Aur.Bor. very bright SE to NW, W to SW on 1861-03-23  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1384 Invalid data: The Aur. Bor. at 9 pm very faint E to N on 1861-04-01  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1384 Invalid data: The Aur.Bor at 10 pm very bright NE to W on 1861-04-02  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1384 Invalid data: Aur.Bor. bright SE to NW at 8 pm on 1861-04-05  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1384 Invalid data: The Aur. Bor. at 8 pm W to SE low on 1861-04-08  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1384 Invalid data: Aur Bor. very bright E to NW on 1861-04-10  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1384 Invalid data: Aur Bor. very bright E to W at 8 pm on 1861-04-11  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1384 Invalid data: The Aur. Bor. very bright at 9:30 pm on 1861-04-23  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1384 Invalid data: The Aur. Bor. very bright on 1861-04-30  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1385 Invalid data: The [ther] in the Sun 91 [degrees] at 2 pm on 1861-05-08  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1385 Invalid data: The Aur. Bor. very bright at 8pm on 1861-05-20  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1385 Invalid data: The Aur. Bor very bright on 1861-05-21  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1385 Invalid data: The Aur. Bor very bright at 12 pm on 1861-05-22  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1385 Invalid data: The Aur Bor E to W on 1861-05-23  Hour:0	Field: 155 - Casual_Phenomena
