"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"ThunderBay","48.38","-89.25","190","America/Thunder_Bay","5","71072","6048260"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","dd","pr","ta","ww"
1870-07-10 09:00:00,NA,NA,NA,NA
1870-07-10 09:00:00,0,NA,NA,NA
1870-07-10 09:00:00,NA,NA,NA,NA
1870-07-10 09:00:00,NA,10.16,NA,NA
1870-07-10 09:00:00,NA,NA,16.67,NA
1870-07-10 09:00:00,NA,NA,NA,",RA NA"
1870-07-10 12:00:00,NA,NA,NA,NA
1870-07-10 12:00:00,0,NA,NA,NA
1870-07-10 12:00:00,NA,NA,NA,NA
1870-07-10 12:00:00,NA,2.54,NA,NA
1870-07-10 12:00:00,NA,NA,16.67,NA
1870-07-10 12:00:00,NA,NA,NA,",RA NA"
1870-07-10 15:00:00,NA,NA,NA,NA
1870-07-10 15:00:00,0,NA,NA,NA
1870-07-10 15:00:00,NA,NA,NA,NA
1870-07-10 15:00:00,NA,0,NA,NA
1870-07-10 15:00:00,NA,NA,17.78,NA
1870-07-10 15:00:00,NA,NA,NA,",SKC NA"
1870-07-11 09:00:00,NA,NA,NA,NA
1870-07-11 09:00:00,270,NA,NA,NA
1870-07-11 09:00:00,NA,NA,NA,NA
1870-07-11 09:00:00,NA,10.16,NA,NA
1870-07-11 09:00:00,NA,NA,14.44,NA
1870-07-11 09:00:00,NA,NA,NA,",RA NA"
1870-07-11 12:00:00,NA,NA,NA,NA
1870-07-11 12:00:00,270,NA,NA,NA
1870-07-11 12:00:00,NA,NA,NA,NA
1870-07-11 12:00:00,NA,2.54,NA,NA
1870-07-11 12:00:00,NA,NA,16.67,NA
1870-07-11 12:00:00,NA,NA,NA,",SKC NA"
1870-07-11 15:00:00,NA,NA,NA,NA
1870-07-11 15:00:00,270,NA,NA,NA
1870-07-11 15:00:00,NA,NA,NA,NA
1870-07-11 15:00:00,NA,25.4,NA,NA
1870-07-11 15:00:00,NA,NA,16.67,NA
1870-07-11 15:00:00,NA,NA,NA,",RA NA"
1870-07-12 09:00:00,NA,NA,NA,NA
1870-07-12 09:00:00,270,NA,NA,NA
1870-07-12 09:00:00,NA,NA,NA,NA
1870-07-12 09:00:00,NA,2.54,NA,NA
1870-07-12 09:00:00,NA,NA,15.56,NA
1870-07-12 09:00:00,NA,NA,NA,",DZ NA"
1870-07-12 12:00:00,NA,NA,NA,NA
1870-07-12 12:00:00,315,NA,NA,NA
1870-07-12 12:00:00,NA,NA,NA,NA
1870-07-12 12:00:00,NA,0,NA,NA
1870-07-12 12:00:00,NA,NA,21.11,NA
1870-07-12 12:00:00,NA,NA,NA,NA
1870-07-12 15:00:00,NA,NA,NA,NA
1870-07-12 15:00:00,315,NA,NA,NA
1870-07-12 15:00:00,NA,NA,NA,NA
1870-07-12 15:00:00,NA,0,NA,NA
1870-07-12 15:00:00,NA,NA,21.11,NA
1870-07-12 15:00:00,NA,NA,NA,NA
1870-07-13 09:00:00,NA,NA,NA,NA
1870-07-13 09:00:00,270,NA,NA,NA
1870-07-13 09:00:00,NA,NA,NA,NA
1870-07-13 09:00:00,NA,0,NA,NA
1870-07-13 09:00:00,NA,NA,21.11,NA
1870-07-13 09:00:00,NA,NA,NA,NA
1870-07-13 12:00:00,NA,NA,NA,NA
1870-07-13 12:00:00,270,NA,NA,NA
1870-07-13 12:00:00,NA,NA,NA,NA
1870-07-13 12:00:00,NA,0,NA,NA
1870-07-13 12:00:00,NA,NA,23.33,NA
1870-07-13 12:00:00,NA,NA,NA,NA
1870-07-13 15:00:00,NA,NA,NA,NA
1870-07-13 15:00:00,270,NA,NA,NA
1870-07-13 15:00:00,NA,NA,NA,NA
1870-07-13 15:00:00,NA,0,NA,NA
1870-07-13 15:00:00,NA,NA,21.11,NA
1870-07-13 15:00:00,NA,NA,NA,NA
1870-07-14 09:00:00,NA,NA,NA,NA
1870-07-14 09:00:00,225,NA,NA,NA
1870-07-14 09:00:00,NA,NA,NA,NA
1870-07-14 09:00:00,NA,0,NA,NA
1870-07-14 09:00:00,NA,NA,25.56,NA
1870-07-14 09:00:00,NA,NA,NA,NA
1870-07-14 12:00:00,NA,NA,NA,NA
1870-07-14 12:00:00,270,NA,NA,NA
1870-07-14 12:00:00,NA,NA,NA,NA
1870-07-14 12:00:00,NA,0,NA,NA
1870-07-14 12:00:00,NA,NA,25.56,NA
1870-07-14 12:00:00,NA,NA,NA,NA
1870-07-14 15:00:00,NA,NA,NA,NA
1870-07-14 15:00:00,225,NA,NA,NA
1870-07-14 15:00:00,NA,NA,NA,NA
1870-07-14 15:00:00,NA,0,NA,NA
1870-07-14 15:00:00,NA,NA,26.67,NA
1870-07-14 15:00:00,NA,NA,NA,NA
1870-07-15 09:00:00,NA,NA,NA,NA
1870-07-15 09:00:00,45,NA,NA,NA
1870-07-15 09:00:00,NA,NA,NA,NA
1870-07-15 09:00:00,NA,0,NA,NA
1870-07-15 09:00:00,NA,NA,15.56,NA
