"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"LittleWhaleRiver","56.03","-76.75","3.6","America/Montreal","5","71615","7103539"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","pr","ta","Tn","w"
1861-11-04 07:00:00,NA,NA,-0.56,NA,NA
1861-11-04 07:00:00,NA,NA,NA,NA,0
1861-11-04 14:00:00,135,NA,NA,NA,NA
1861-11-04 14:00:00,NA,0,NA,NA,NA
1861-11-04 14:00:00,NA,NA,2.78,NA,NA
1861-11-04 14:00:00,NA,NA,NA,NA,0
1861-11-04 21:00:00,135,NA,NA,NA,NA
1861-11-04 21:00:00,NA,0.23,NA,NA,NA
1861-11-04 21:00:00,NA,NA,0.56,NA,NA
1861-11-04 21:00:00,NA,NA,NA,NA,0
1861-11-05,NA,NA,NA,NA,NA
1861-11-05,NA,NA,NA,-2.22,NA
1861-11-05,NA,NA,NA,NA,NA
1861-11-05 07:00:00,180,NA,NA,NA,NA
1861-11-05 07:00:00,NA,0,NA,NA,NA
1861-11-05 07:00:00,NA,NA,1.67,NA,NA
1861-11-05 07:00:00,NA,NA,NA,NA,0
1861-11-05 14:00:00,135,NA,NA,NA,NA
1861-11-05 14:00:00,NA,0,NA,NA,NA
1861-11-05 14:00:00,NA,NA,2.78,NA,NA
1861-11-05 14:00:00,NA,NA,NA,NA,0
1861-11-05 21:00:00,135,NA,NA,NA,NA
1861-11-05 21:00:00,NA,0,NA,NA,NA
1861-11-05 21:00:00,NA,NA,-0.56,NA,NA
1861-11-05 21:00:00,NA,NA,NA,NA,0
1861-11-06,NA,NA,NA,NA,NA
1861-11-06,NA,NA,NA,-2.78,NA
1861-11-06,NA,NA,NA,NA,NA
1861-11-06 07:00:00,NA,NA,NA,NA,NA
1861-11-06 07:00:00,NA,0,NA,NA,NA
1861-11-06 07:00:00,NA,NA,-1.11,NA,NA
1861-11-06 07:00:00,NA,NA,NA,NA,NA
1861-11-06 14:00:00,180,NA,NA,NA,NA
1861-11-06 14:00:00,NA,0,NA,NA,NA
