"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"MooseFactory","51.24","-80.76","9","America/Toronto","5","71836","6075425"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","dd","p","pr","ptb","pte","sd","ta","ta_mean","tb","Tn","w","ww"
1860-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HALO NA"
1860-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SN NA"
1860-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BKN NA"
1860-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRSN NA"
1860-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AU NA"
1860-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKC NA"
1860-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKC NA"
1860-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SN NA"
1860-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKC NA"
1860-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HALO NA"
1860-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SN NA"
1860-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SN NA"
1860-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01,NA,NA,NA,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA snow"
1861-01-01,NA,NA,NA,NA,NA,NA,NA,NA,-23.52,NA,NA,NA,NA
1861-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35,NA,NA
1861-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 07:00:00,-3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 07:00:00,NA,292.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 07:00:00,NA,NA,1020.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,-31.11,NA,NA,NA,NA,NA
1861-01-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-01-01 14:00:00,16.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 14:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 14:00:00,NA,NA,1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,-20,NA,NA,NA,NA,NA
