"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"MooseFactory","51.24","-80.76","9","America/Toronto","5","71836","6075425"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","dd","p","pr","ptb","pte","sd","ta","ta_mean","tb","Tn","w","ww"
1861-02-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-09 21:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-09 21:00:00,NA,NA,1018.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,-15.83,NA,NA,NA,NA,NA
1861-02-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10,NA,NA,NA,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10,NA,NA,NA,NA,NA,NA,NA,NA,-10.65,NA,NA,NA,NA
1861-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.22,NA,NA
1861-02-10 07:00:00,-1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1861-02-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 07:00:00,NA,NA,1012.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,-13.89,NA,NA,NA,NA,NA
1861-02-10 14:00:00,15.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 14:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 14:00:00,NA,NA,1019.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,-7.78,NA,NA,NA,NA,NA
1861-02-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-02-10 21:00:00,21.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 21:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 21:00:00,NA,NA,1023.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,-10.28,NA,NA,NA,NA,NA
1861-02-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11,NA,NA,NA,7.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA snow"
1861-02-11,NA,NA,NA,NA,NA,NA,NA,NA,-4.08,NA,NA,NA,NA
1861-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.67,NA,NA
1861-02-11 07:00:00,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 07:00:00,NA,112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 07:00:00,NA,NA,1015.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,-9.44,NA,NA,NA,NA,NA
1861-02-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
1861-02-11 14:00:00,21.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 14:00:00,NA,112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 14:00:00,NA,NA,1002.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA,NA,NA
1861-02-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-11 21:00:00,18.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 21:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 21:00:00,NA,NA,995.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,-0.56,NA,NA,NA,NA,NA
1861-02-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA snow"
1861-02-12,NA,NA,NA,NA,NA,NA,NA,NA,-5.93,NA,NA,NA,NA
1861-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA
1861-02-12 07:00:00,7.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 07:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 07:00:00,NA,NA,990.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,-0.28,NA,NA,NA,NA,NA
1861-02-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-12 14:00:00,22.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 14:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 14:00:00,NA,NA,992.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,-6.11,NA,NA,NA,NA,NA
1861-02-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-12 21:00:00,15.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 21:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 21:00:00,NA,NA,998.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,-11.39,NA,NA,NA,NA,NA
1861-02-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA snow"
1861-02-13,NA,NA,NA,NA,NA,NA,NA,NA,-14.44,NA,NA,NA,NA
1861-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.11,NA,NA
1861-02-13 07:00:00,5.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 07:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 07:00:00,NA,NA,1005.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,-14.44,NA,NA,NA,NA,NA
1861-02-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
1861-02-13 14:00:00,21.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 14:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 14:00:00,NA,NA,1015.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,-12.22,NA,NA,NA,NA,NA
1861-02-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
1861-02-13 21:00:00,20.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1861-02-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 21:00:00,NA,NA,1022.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,-16.67,NA,NA,NA,NA,NA
1861-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14,NA,NA,NA,NA,NA,NA,NA,NA,-21.48,NA,NA,NA,NA
1861-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.89,NA,NA
1861-02-14 07:00:00,-1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 07:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 07:00:00,NA,NA,1024.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,-26.67,NA,NA,NA,NA,NA
1861-02-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1861-02-14 14:00:00,19.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 14:00:00,NA,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 14:00:00,NA,NA,1029.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,-15,NA,NA,NA,NA,NA
1861-02-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-14 21:00:00,22.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 21:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 21:00:00,NA,NA,1029.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,-22.78,NA,NA,NA,NA,NA
1861-02-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15,NA,NA,NA,NA,NA,NA,NA,NA,-14.72,NA,NA,NA,NA
1861-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.89,NA,NA
1861-02-15 07:00:00,-2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 07:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 07:00:00,NA,NA,1023.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,-21.11,NA,NA,NA,NA,NA
1861-02-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-15 14:00:00,19.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 14:00:00,NA,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 14:00:00,NA,NA,1018.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,-13.06,NA,NA,NA,NA,NA
1861-02-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
1861-02-15 21:00:00,17.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 21:00:00,NA,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 21:00:00,NA,NA,1011.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA
1861-02-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
1861-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16,NA,NA,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16,NA,NA,NA,NA,NA,NA,NA,NA,-9.36,NA,NA,NA,NA
1861-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.78,NA,NA
1861-02-16 07:00:00,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 07:00:00,NA,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 07:00:00,NA,NA,1005.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 07:00:00,NA,NA,NA,NA,NA,NA,NA,-10.56,NA,NA,NA,NA,NA
1861-02-16 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
1861-02-16 14:00:00,18.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 14:00:00,NA,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 14:00:00,NA,NA,1006.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 14:00:00,NA,NA,NA,NA,NA,NA,NA,-7.78,NA,NA,NA,NA,NA
1861-02-16 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-16 21:00:00,23.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 21:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 21:00:00,NA,NA,1008.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-16 21:00:00,NA,NA,NA,NA,NA,NA,NA,-9.72,NA,NA,NA,NA,NA
1861-02-16 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17,NA,NA,NA,NA,NA,NA,NA,NA,-12.87,NA,NA,NA,NA
1861-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.22,NA,NA
1861-02-17 07:00:00,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 07:00:00,NA,337.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 07:00:00,NA,NA,1006.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 07:00:00,NA,NA,NA,NA,NA,NA,NA,-11.11,NA,NA,NA,NA,NA
1861-02-17 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-17 14:00:00,21.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 14:00:00,NA,337.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 14:00:00,NA,NA,1008.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 14:00:00,NA,NA,NA,NA,NA,NA,NA,-10.56,NA,NA,NA,NA,NA
1861-02-17 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-17 21:00:00,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 21:00:00,NA,337.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 21:00:00,NA,NA,1009.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-17 21:00:00,NA,NA,NA,NA,NA,NA,NA,-16.94,NA,NA,NA,NA,NA
1861-02-17 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18,NA,NA,NA,NA,NA,NA,NA,NA,-18.24,NA,NA,NA,NA
1861-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.06,NA,NA
1861-02-18 07:00:00,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 07:00:00,NA,337.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 07:00:00,NA,NA,1009.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 07:00:00,NA,NA,NA,NA,NA,NA,NA,-19.72,NA,NA,NA,NA,NA
1861-02-18 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-02-18 14:00:00,23.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 14:00:00,NA,247.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 14:00:00,NA,NA,1011.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 14:00:00,NA,NA,NA,NA,NA,NA,NA,-15,NA,NA,NA,NA,NA
1861-02-18 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-02-18 21:00:00,22.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 21:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 21:00:00,NA,NA,1011.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,-18.89,NA,NA,NA,NA,NA
1861-02-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
