"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"CoalHarbour","49.3","-123.1","18","America/Vancouver","8","71201","1108446"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","ta","w"
1884-01-11,NA,NA,NA
1884-01-11 06:00:00,NA,3.3,NA
1884-01-11 07:00:00,NA,3.3,NA
1884-01-11 08:00:00,NA,3.3,NA
1884-01-11 09:00:00,NA,3.9,NA
1884-01-11 10:00:00,NA,4.4,NA
1884-01-11 11:00:00,NA,4.4,NA
1884-01-11 12:00:00,NA,5,NA
1884-01-11 13:00:00,NA,6.7,NA
1884-01-11 14:00:00,NA,5,NA
1884-01-11 15:00:00,NA,5,NA
1884-01-11 16:00:00,NA,5,NA
1884-01-11 17:00:00,NA,5,NA
1884-01-11 18:00:00,NA,5,NA
1884-01-11 19:00:00,NA,5,NA
1884-01-12,NA,NA,NA
1884-01-12 06:00:00,NA,2.2,NA
1884-01-12 07:00:00,NA,2.2,NA
1884-01-12 08:00:00,NA,2.2,NA
1884-01-12 09:00:00,NA,2.8,NA
1884-01-12 10:00:00,NA,3.9,NA
1884-01-12 11:00:00,NA,5.6,NA
1884-01-12 12:00:00,NA,5,NA
1884-01-12 13:00:00,NA,4.4,NA
1884-01-12 14:00:00,NA,4.4,NA
1884-01-12 15:00:00,NA,4.4,NA
1884-01-12 16:00:00,NA,3.3,NA
1884-01-12 17:00:00,NA,3.3,NA
1884-01-12 18:00:00,NA,3.3,NA
1884-01-12 19:00:00,NA,2.8,NA
1884-01-13,NA,NA,NA
1884-01-13 06:00:00,NA,0,NA
1884-01-13 07:00:00,NA,0,NA
1884-01-13 08:00:00,NA,1.1,NA
1884-01-13 09:00:00,NA,1.7,NA
1884-01-13 10:00:00,NA,2.8,NA
1884-01-13 11:00:00,NA,4.4,NA
1884-01-13 12:00:00,NA,5,NA
1884-01-13 13:00:00,NA,5.6,NA
1884-01-13 14:00:00,NA,5,NA
1884-01-13 15:00:00,NA,4.4,NA
1884-01-13 16:00:00,NA,2.8,NA
1884-01-13 17:00:00,NA,1.7,NA
1884-01-13 18:00:00,NA,0.6,NA
1884-01-13 19:00:00,NA,0,NA
1884-01-14,NA,NA,NA
1884-01-14 06:00:00,NA,-2.2,NA
1884-01-14 07:00:00,NA,-1.1,NA
1884-01-14 08:00:00,NA,-1.1,NA
1884-01-14 09:00:00,NA,-0.6,NA
1884-01-14 10:00:00,NA,0.6,NA
1884-01-14 11:00:00,NA,1.1,NA
1884-01-14 12:00:00,NA,2.2,NA
1884-01-14 13:00:00,NA,2.8,NA
1884-01-14 14:00:00,NA,2.2,NA
1884-01-14 15:00:00,NA,2.2,NA
1884-01-14 16:00:00,NA,0.6,NA
1884-01-14 17:00:00,NA,0,NA
1884-01-14 18:00:00,NA,0,NA
1884-01-14 19:00:00,NA,-999.9,NA
1884-01-15,NA,NA,NA
1884-01-15 06:00:00,NA,-1.1,NA
1884-01-15 07:00:00,NA,-1.1,NA
1884-01-15 08:00:00,NA,-0.6,NA
1884-01-15 09:00:00,NA,0,NA
1884-01-15 10:00:00,NA,1.1,NA
1884-01-15 11:00:00,NA,1.1,NA
1884-01-15 12:00:00,NA,2.2,NA
1884-01-15 13:00:00,NA,2.2,NA
1884-01-15 14:00:00,NA,2.2,NA
1884-01-15 15:00:00,NA,2.2,NA
1884-01-15 16:00:00,NA,1.1,NA
1884-01-15 17:00:00,NA,0.6,NA
1884-01-15 18:00:00,NA,0,NA
1884-01-15 19:00:00,NA,0,NA
1884-01-16,NA,NA,NA
1884-01-16 06:00:00,NA,-1.1,NA
1884-01-16 07:00:00,NA,-1.1,NA
1884-01-16 08:00:00,NA,-1.1,NA
1884-01-16 09:00:00,NA,-0.6,NA
1884-01-16 10:00:00,NA,0,NA
1884-01-16 11:00:00,NA,0.6,NA
1884-01-16 12:00:00,NA,1.1,NA
1884-01-16 13:00:00,NA,2.2,NA
1884-01-16 14:00:00,NA,2.2,NA
1884-01-16 15:00:00,NA,1.7,NA
1884-01-16 16:00:00,NA,1.1,NA
1884-01-16 17:00:00,NA,1.1,NA
1884-01-16 18:00:00,NA,1.1,NA
1884-01-16 19:00:00,NA,0.6,NA
1884-01-17,NA,NA,NA
1884-01-17 06:00:00,NA,1.1,NA
1884-01-17 07:00:00,NA,1.1,NA
1884-01-17 08:00:00,NA,1.1,NA
1884-01-17 09:00:00,NA,2.8,NA
1884-01-17 10:00:00,NA,4.4,NA
1884-01-17 11:00:00,NA,6.7,NA
1884-01-17 12:00:00,NA,5.6,NA
1884-01-17 13:00:00,NA,5.6,NA
1884-01-17 14:00:00,NA,5.6,NA
1884-01-17 15:00:00,NA,3.3,NA
1884-01-17 16:00:00,NA,2.8,NA
1884-01-17 17:00:00,NA,2.8,NA
1884-01-17 18:00:00,NA,2.2,NA
1884-01-17 19:00:00,NA,2.2,NA
1884-01-18,NA,NA,NA
1884-01-18 06:00:00,NA,0.6,NA
1884-01-18 07:00:00,NA,0.6,NA
1884-01-18 08:00:00,NA,1.1,NA
1884-01-18 09:00:00,NA,2.2,NA
1884-01-18 10:00:00,NA,2.2,NA
1884-01-18 11:00:00,NA,2.8,NA
1884-01-18 12:00:00,NA,3.3,NA
1884-01-18 13:00:00,NA,3.9,NA
1884-01-18 14:00:00,NA,3.9,NA
1884-01-18 15:00:00,NA,3.3,NA
1884-01-18 16:00:00,NA,2.8,NA
1884-01-18 17:00:00,NA,2.2,NA
1884-01-18 18:00:00,NA,1.1,NA
1884-01-18 19:00:00,NA,-0.6,NA
1884-01-19,NA,NA,NA
1884-01-19 06:00:00,NA,-1.1,NA
1884-01-19 07:00:00,NA,-1.1,NA
1884-01-19 08:00:00,NA,-0.6,NA
1884-01-19 09:00:00,NA,1.1,NA
1884-01-19 10:00:00,NA,3.3,NA
1884-01-19 11:00:00,NA,3.3,NA
1884-01-19 12:00:00,NA,3.9,NA
1884-01-19 13:00:00,NA,3.9,NA
1884-01-19 14:00:00,NA,3.3,NA
1884-01-19 15:00:00,NA,2.8,NA
1884-01-19 16:00:00,NA,1.7,NA
1884-01-19 17:00:00,NA,1.1,NA
1884-01-19 18:00:00,NA,1.1,NA
1884-01-19 19:00:00,NA,0,NA
1884-01-20,NA,NA,NA
1884-01-20 06:00:00,NA,-2.2,NA
1884-01-20 07:00:00,NA,-1.7,NA
1884-01-20 08:00:00,NA,-0.6,NA
