"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"StJohnsNFLDCas","47.55","-52.71","37.6","America/St_Johns","3.5","71250","8403500"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"cd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","cd","cv","dd","p","pr","ptb","pte","sd","ta","ta_mean","w","ww"
1868-11-03,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA
1868-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA rain"
1868-11-03,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
1868-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.72,NA,NA
1868-11-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-03 07:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-03 07:00:00,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-03 07:00:00,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1868-11-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1868-11-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-03 14:00:00,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,NA,NA,NA
1868-11-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1868-11-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-03 21:00:00,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1868-11-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1868-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-04,NA,NA,NA,NA,NA,NA,NA,"7 pm",NA,NA,NA,NA,NA
1868-11-04,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA
1868-11-04,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
1868-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
1868-11-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-04 07:00:00,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11,NA,NA,NA
1868-11-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1868-11-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-04 14:00:00,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,NA,NA,NA
1868-11-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
1868-11-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-04 21:00:00,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-04 21:00:00,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,NA,NA,NA
1868-11-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1868-11-05,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
1868-11-05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1868-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA empty"
1868-11-05,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
1868-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,NA,NA
1868-11-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-05 07:00:00,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,NA,NA,NA
1868-11-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1868-11-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-05 14:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-05 14:00:00,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-05 14:00:00,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,NA,NA,NA
1868-11-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1868-11-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-05 21:00:00,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,NA,NA,NA
1868-11-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1868-11-06,NA,NA,NA,NA,NA,NA,"11:30 am, 1:30 pm",NA,NA,NA,NA,NA,NA
1868-11-06,NA,NA,NA,NA,NA,NA,NA,"12:30 pm, 6:45 pm",NA,NA,NA,NA,NA
1868-11-06,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA
1868-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA rain"
1868-11-06,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
1868-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.56,NA,NA
1868-11-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-06 07:00:00,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1868-11-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1868-11-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-06 14:00:00,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.78,NA,NA,NA
1868-11-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1868-11-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-06 21:00:00,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1868-11-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1868-11-07,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
1868-11-07,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
1868-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA empty"
1868-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,NA,NA
1868-11-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-07 07:00:00,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA
1868-11-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1868-11-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-07 14:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-07 14:00:00,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-07 14:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,NA,NA
1868-11-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
1868-11-07 21:00:00,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-07 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA
1868-11-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1868-11-08,NA,NA,NA,NA,NA,NA,"6 am",NA,NA,NA,NA,NA,NA
1868-11-08,NA,NA,NA,NA,NA,NA,NA,"8 am",NA,NA,NA,NA,NA
1868-11-08,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA
1868-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA snow"
1868-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.94,NA,NA
1868-11-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-08 07:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1868-11-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1868-11-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-08 14:00:00,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA
1868-11-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1868-11-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1868-11-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA
1868-11-09,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
1868-11-09,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
1868-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA empty"
1868-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.61,NA,NA
1868-11-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-09 07:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-09 07:00:00,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-09 07:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.56,NA,NA,NA
1868-11-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1868-11-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-09 14:00:00,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,NA,NA,NA
1868-11-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1868-11-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-09 21:00:00,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56,NA,NA,NA
1868-11-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1868-11-10,NA,NA,NA,NA,NA,NA,"1 am",NA,NA,NA,NA,NA,NA
1868-11-10,NA,NA,NA,NA,NA,NA,NA,"2 pm",NA,NA,NA,NA,NA
1868-11-10,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA
1868-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA snow"
1868-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39,NA,NA
1868-11-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-10 07:00:00,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
1868-11-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1868-11-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-10 14:00:00,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA
1868-11-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
1868-11-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-10 21:00:00,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-10 21:00:00,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.78,NA,NA,NA
1868-11-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1868-11-11,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
1868-11-11,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1868-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA empty"
1868-11-11,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
1868-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.22,NA,NA
1868-11-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-11 07:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.44,NA,NA,NA
1868-11-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1868-11-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-11 14:00:00,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868-11-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
