"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortNelson","58.8","-122.7","400","America/Fort_Nelson","7","71594","1192948"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","dd","ta","ww"
1821-10-13 21:00:00,NA,22.78,NA
1821-10-14,NA,NA,",SKC NA"
1821-10-14 07:00:00,NA,17.22,NA
1821-10-14 12:00:00,225,NA,NA
1821-10-14 14:00:00,NA,21.11,NA
1821-10-14 21:00:00,NA,20.56,NA
1821-10-15,NA,NA,",SKC NA"
1821-10-15 07:00:00,NA,20,NA
1821-10-15 12:00:00,315,NA,NA
1821-10-15 14:00:00,NA,20.56,NA
1821-10-15 21:00:00,NA,16.67,NA
1821-10-16,NA,NA,",SKC NA"
1821-10-16 07:00:00,NA,14.44,NA
1821-10-16 12:00:00,315,NA,NA
1821-10-16 14:00:00,NA,20,NA
1821-10-16 21:00:00,NA,18.89,NA
1821-10-17,NA,NA,",SKC NA"
1821-10-17 07:00:00,NA,20,NA
1821-10-17 12:00:00,315,NA,NA
1821-10-17 14:00:00,NA,21.11,NA
1821-10-17 21:00:00,NA,20,NA
1821-10-18,NA,NA,",BKN NA"
1821-10-18 07:00:00,NA,14.44,NA
1821-10-18 12:00:00,45,NA,NA
1821-10-18 14:00:00,NA,13.33,NA
1821-10-18 21:00:00,NA,11.67,NA
1821-10-19,NA,NA,",BKN NA"
1821-10-19 07:00:00,NA,10,NA
1821-10-19 12:00:00,315,NA,NA
1821-10-19 14:00:00,NA,12.22,NA
1821-10-19 21:00:00,NA,10.56,NA
1821-10-20,NA,NA,",SKC NA"
1821-10-20,NA,NA,NA
1821-10-20 07:00:00,NA,8.89,NA
1821-10-20 12:00:00,225,NA,NA
1821-10-20 14:00:00,NA,15,NA
1821-10-20 21:00:00,NA,12.22,NA
1821-10-21,NA,NA,",SKC NA"
1821-10-21,NA,NA,NA
1821-10-21 07:00:00,NA,11.11,NA
1821-10-21 12:00:00,180,NA,NA
1821-10-21 14:00:00,NA,17.78,NA
1821-10-21 21:00:00,NA,16.67,NA
1821-10-22,NA,NA,",SKC NA"
1821-10-22 07:00:00,NA,15,NA
1821-10-22 12:00:00,315,NA,NA
1821-10-22 14:00:00,NA,20,NA
1821-10-22 21:00:00,NA,17.22,NA
1821-10-23,NA,NA,",SKC NA"
1821-10-23 07:00:00,NA,15,NA
1821-10-23 12:00:00,45,NA,NA
1821-10-23 14:00:00,NA,18.89,NA
1821-10-23 21:00:00,NA,16.11,NA
1821-10-24,NA,NA,",BKN NA"
1821-10-24 07:00:00,NA,12.22,NA
1821-10-24 12:00:00,45,NA,NA
1821-10-24 14:00:00,NA,20.56,NA
1821-10-24 21:00:00,NA,15,NA
1821-10-25,NA,NA,",SKC NA"
1821-10-25 07:00:00,NA,26.11,NA
1821-10-25 12:00:00,45,NA,NA
1821-10-25 14:00:00,NA,16.67,NA
