"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Michipocoton","47.8","-85.08","201","America/Thunder_Bay","5","71738","6059D09 "
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"hd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","cv","dd","hd","p","pr","ptb","pte","sd","ta","ta_mean","w","ww"
1860-11-01 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-01 21:00:00,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA
1860-11-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1860-11-02,NA,NA,NA,NA,NA,NA,"8:00 am",NA,NA,NA,NA,NA,NA
1860-11-02,NA,NA,NA,NA,NA,NA,NA,"9:00 am",NA,NA,NA,NA,NA
1860-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA rain"
1860-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.78,NA,NA
1860-11-02 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-02 07:00:00,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-02 07:00:00,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1860-11-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1860-11-02 14:00:00,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-02 14:00:00,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-02 14:00:00,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.78,NA,NA,NA
1860-11-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1860-11-02 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-02 21:00:00,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.11,NA,NA,NA
1860-11-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1860-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.71,NA,NA
1860-11-03 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-03 07:00:00,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,NA,NA,NA
1860-11-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1860-11-03 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-03 14:00:00,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
1860-11-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1860-11-03 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-03 21:00:00,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89,NA,NA,NA
1860-11-03 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1860-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82,NA,NA
1860-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-04 07:00:00,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-04 07:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-04 07:00:00,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89,NA,NA,NA
1860-11-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
1860-11-04 14:00:00,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-04 14:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11,NA,NA,NA
1860-11-04 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
1860-11-04 21:00:00,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-04 21:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,NA,NA
1860-11-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1860-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA
1860-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-05 07:00:00,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-05 07:00:00,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.89,NA,NA,NA
1860-11-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1860-11-05 14:00:00,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-05 14:00:00,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA
1860-11-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1860-11-05 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-05 21:00:00,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1860-11-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1860-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.52,NA,NA
1860-11-06 07:00:00,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-06 07:00:00,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.44,NA,NA,NA
1860-11-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1860-11-06 14:00:00,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-06 14:00:00,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA
1860-11-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1860-11-06 21:00:00,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-06 21:00:00,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.67,NA,NA,NA
1860-11-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1860-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,NA,NA
1860-11-07 07:00:00,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-07 07:00:00,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-07 07:00:00,NA,NA,NA,"225",NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,NA,NA,NA
1860-11-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1860-11-07 14:00:00,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-07 14:00:00,NA,NA,225,"225",NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
1860-11-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1860-11-07 21:00:00,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-07 21:00:00,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89,NA,NA,NA
1860-11-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
1860-11-08,NA,NA,NA,NA,NA,NA,"1:00 am",NA,NA,NA,NA,NA,NA
1860-11-08,NA,NA,NA,NA,NA,NA,NA,"3:00 pm",NA,NA,NA,NA,NA
1860-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.07,NA,NA
1860-11-08 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-08 07:00:00,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA
1860-11-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-11-08 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-08 14:00:00,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11,NA,NA,NA
1860-11-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-11-08 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-08 21:00:00,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89,NA,NA,NA
1860-11-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,NA,NA
1860-11-09 07:00:00,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-09 07:00:00,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA
1860-11-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1860-11-09 14:00:00,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-09 14:00:00,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89,NA,NA,NA
1860-11-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
1860-11-09 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-09 21:00:00,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA
1860-11-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
1860-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52,NA,NA
1860-11-10 07:00:00,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-10 07:00:00,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA
1860-11-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
1860-11-10 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-10 14:00:00,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,NA,NA,NA
1860-11-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
1860-11-10 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-10 21:00:00,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA
1860-11-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1860-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,NA,NA
1860-11-11 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-11 07:00:00,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.56,NA,NA,NA
1860-11-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-11-11 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-11 14:00:00,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1860-11-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-11-11 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-11 21:00:00,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA
1860-11-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,NA,NA
1860-11-12 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-12 07:00:00,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.89,NA,NA,NA
1860-11-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-11-12 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,NA,NA
1860-11-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-11-12 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-11-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA
1860-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA
1860-11-13 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-13 07:00:00,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1860-11-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1860-11-13 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-13 14:00:00,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA
1860-11-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1860-11-13 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-11-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1860-11-14,NA,NA,NA,NA,NA,NA,"3:00 pm",NA,NA,NA,NA,NA,NA
1860-11-14,NA,NA,NA,NA,NA,NA,NA,"5:00 pm",NA,NA,NA,NA,NA
1860-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.85,NA,NA
1860-11-14 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-11-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.67,NA,NA,NA
1860-11-14 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,NA,NA,NA
1860-11-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-11-14 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-11-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA
1860-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA
1860-11-15 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-15 07:00:00,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA
1860-11-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1860-11-15 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-11-15 14:00:00,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
