"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Quebec","46.81","-71.22","80.8","America/Montreal","5","71714","7016293"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"e","specific humidity","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"rh","relative humidity","atmospheric material",NA,"%","sub-daily","instrumental","original_observation","field method","n",NA
"rr","precipitation","atmospheric material",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"ta_range","air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"tb_mean","humidity","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tbn","humidity","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"tbx","humidity","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"td","hydroclimatic variable","atmospheric material",NA,"C","sub-daily","instrumental","calculated","computational method","n",NA
"tdb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Tx","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Txs","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","dd","e","p","pr","rh","rr","sd","ta","ta_mean","ta_range","tb","tb_mean","tbn","tbx","td","tdb","Tn","Tx","Txs","w","ww"
1858-12-22 07:00:00,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA
1858-12-22 09:00:00,4.44,45,4.54,986.46,NA,NA,NA,NA,NA,NA,NA,-6.11,NA,NA,NA,-6.11,-6.11,NA,NA,NA,0,NA
1858-12-22 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-22 14:00:00,5,NA,4.37,986.79,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-22 15:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.67,NA,NA,NA,-6.67,-6.67,NA,NA,NA,7.65,NA
1858-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.61,NA,NA,-10.28,-20.56,0,NA,NA,-22.22,-5,NA,NA,"empty"
1858-12-23 07:00:00,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.89,NA,NA
1858-12-23 09:00:00,1.67,225,1.63,1005.01,NA,NA,NA,NA,NA,NA,NA,-13.33,NA,NA,NA,NA,-16.67,NA,NA,NA,6.25,NA
1858-12-23 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-23 14:00:00,2.22,NA,1.49,1007.89,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-23 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.67,NA,NA,NA,NA,-17.78,NA,NA,NA,6.25,NA
1858-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,NA,NA,-17.5,-18.33,-11.67,NA,NA,-18.33,-11.67,NA,NA,"empty"
1858-12-24 07:00:00,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.78,NA,NA
1858-12-24 09:00:00,0,270,3.15,1013.88,NA,NA,NA,NA,NA,NA,NA,-11.67,NA,NA,NA,-11.67,-11.67,NA,NA,NA,0,NA
1858-12-24 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-24 14:00:00,0.56,NA,2.03,1014.22,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-24 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.78,NA,NA,NA,NA,-13.89,NA,NA,NA,6.25,NA
1858-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"empty"
1858-12-25 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-25 09:00:00,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1858-12-25 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-25 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-25 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1858-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"empty"
1858-12-26 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-26 09:00:00,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1858-12-26 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-26 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-26 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1858-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.89,NA,NA,-13.06,-20.56,-5.56,NA,NA,-21.67,-6.11,NA,NA,"snow"
1858-12-27 07:00:00,NA,NA,NA,NA,NA,73.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA
1858-12-27 09:00:00,-5,225,3.59,1000.61,NA,NA,NA,NA,NA,NA,NA,-5.56,NA,NA,NA,-9.72,-5,NA,NA,NA,8.84,NA
1858-12-27 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-27 14:00:00,-3.89,NA,5.66,998.31,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-27 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.78,NA,NA,NA,-2.78,-2.78,NA,NA,NA,4.42,",sn"
1858-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.61,NA,NA,-4.72,-7.22,-2.22,NA,NA,-15,-2.22,NA,NA,"empty"
1858-12-28 07:00:00,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA
1858-12-28 09:00:00,0,315,5.66,1003.18,NA,NA,NA,NA,NA,NA,NA,-2.78,NA,NA,NA,-2.78,-2.78,NA,NA,NA,0,NA
1858-12-28 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-28 14:00:00,1.11,NA,5.08,1003.32,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-28 15:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.44,NA,NA,NA,-4.44,-4.44,NA,NA,NA,0,NA
1858-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.22,NA,NA,-9.72,-16.67,-2.78,NA,NA,-20,-4.44,NA,NA,"empty"
1858-12-29 07:00:00,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA
1858-12-29 09:00:00,0.56,270,3.01,1013.48,NA,NA,NA,NA,NA,NA,NA,-12.22,NA,NA,NA,-12.22,-12.22,NA,NA,NA,0,NA
1858-12-29 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-29 14:00:00,-0.56,NA,3.01,1013.61,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-29 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.22,NA,NA,NA,-12.22,-12.22,NA,NA,NA,0,NA
1858-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,NA,NA,-10.56,-21.11,0,NA,NA,-22.78,-7.22,NA,NA,"empty"
1858-12-30 07:00:00,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA
1858-12-30 09:00:00,-1.11,270,1.29,1021.4,NA,NA,NA,NA,NA,NA,NA,-17.78,NA,NA,NA,NA,-19.44,NA,NA,NA,0,NA
1858-12-30 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-30 14:00:00,0,NA,1.76,1023.71,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-30 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.78,NA,NA,NA,NA,-15.56,NA,NA,NA,0,NA
1858-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.28,NA,NA,-9.11,-17.78,-0.56,NA,NA,-18.89,-11.67,NA,NA,"empty"
1858-12-31 07:00:00,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.22,NA,NA
1858-12-31 09:00:00,0,45,3.15,1015.44,NA,NA,NA,NA,NA,NA,NA,-11.67,NA,NA,NA,-11.67,-11.67,NA,NA,NA,0,NA
1858-12-31 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-31 14:00:00,-0.56,NA,2.07,1013.14,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858-12-31 15:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.78,NA,NA,NA,-12.78,-12.78,NA,NA,NA,0,NA
1859-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.44,NA,NA,-5.83,-11.67,0,NA,NA,-15.56,-3.33,NA,NA,"empty"
1859-01-01 07:00:00,NA,NA,NA,NA,NA,80.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA
1859-01-01 09:00:00,1.67,225,4.37,999.39,NA,NA,NA,NA,NA,NA,NA,-3.89,NA,NA,NA,-6.72,-3.33,NA,NA,NA,0,NA
1859-01-01 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-01 14:00:00,1.67,NA,5.25,996.95,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-01 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.89,NA,NA,NA,-3.89,-3.89,NA,NA,NA,NA,NA
1859-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"empty"
1859-01-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-02 09:00:00,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1859-01-02 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-02 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1859-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.39,NA,NA,-8.33,-16.67,0,NA,NA,-21.67,-1.11,NA,NA,"snow"
1859-01-03 07:00:00,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
1859-01-03 09:00:00,-1.67,270,0.61,1024.99,NA,NA,NA,NA,NA,NA,NA,-11.11,NA,NA,NA,-23.61,-9.44,NA,NA,NA,5.59,",sn"
1859-01-03 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-03 14:00:00,-2.22,NA,3.15,1022.01,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-03 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.67,NA,NA,NA,-11.67,-11.67,NA,NA,NA,5.59,NA
1859-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.22,NA,NA,-6.11,-12.22,0,NA,NA,-16.67,-7.78,NA,NA,"snow"
1859-01-04 07:00:00,NA,NA,NA,NA,NA,73.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
1859-01-04 09:00:00,-2.78,45,2.27,1016.32,NA,NA,NA,NA,NA,NA,NA,-12.22,NA,NA,NA,-16.39,-11.67,NA,NA,NA,0,",sn"
1859-01-04 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-04 14:00:00,-3.33,NA,2.2,1015.95,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-04 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.78,NA,NA,NA,-16.94,-12.22,NA,NA,NA,0,",sn"
1859-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.89,NA,NA,-8.89,-12.78,-5,NA,NA,-15.56,-12.22,NA,NA,"snow"
1859-01-05 07:00:00,NA,NA,NA,NA,NA,47.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,NA,NA
1859-01-05 09:00:00,-2.78,45,2.1,1001.8,NA,NA,NA,NA,NA,NA,NA,-7.22,NA,NA,NA,-15.56,-6.11,NA,NA,NA,0,",sn"
1859-01-05 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-05 14:00:00,1.67,NA,3.08,1001.59,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-05 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.78,NA,NA,NA,-11.94,-7.22,NA,NA,NA,7.9,",sn"
1859-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.78,NA,NA,-4.72,-9.44,0,NA,NA,-11.11,-4.44,NA,NA,"snow"
1859-01-06 07:00:00,NA,NA,NA,NA,NA,72.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.44,NA,NA
1859-01-06 09:00:00,3.33,45,3.45,1014.22,NA,NA,NA,NA,NA,NA,NA,-6.11,NA,NA,NA,-10.28,-5.56,NA,NA,NA,0,",sn"
1859-01-06 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-06 14:00:00,3.33,NA,2.84,1013.88,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-06 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.89,NA,NA,NA,-14.17,-8.33,NA,NA,NA,0,",sn"
1859-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.89,NA,NA,-8.89,-12.78,-5,NA,NA,-12.22,-5.56,NA,NA,"snow"
1859-01-07 07:00:00,NA,NA,NA,NA,NA,58.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.44,NA,NA
1859-01-07 09:00:00,4.44,45,3.08,994.99,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,-11,-3.89,NA,NA,NA,0,",sn"
1859-01-07 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-07 14:00:00,3.89,NA,2.2,994.51,NA,45.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-07 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.67,NA,NA,NA,-15,-5.56,NA,NA,NA,0,",sn"
1859-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,-9.72,-17.78,-1.67,NA,NA,-18.89,-1.11,NA,NA,"snow"
1859-01-08 07:00:00,NA,NA,NA,NA,NA,30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56,NA,NA
1859-01-08 09:00:00,-0.56,315,0.81,997.29,NA,NA,NA,NA,NA,NA,NA,-9.44,NA,NA,NA,-21.94,-7.78,NA,NA,NA,8.84,",sn"
1859-01-08 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-08 14:00:00,-3.89,NA,9.85,996.41,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-08 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.78,NA,NA,NA,NA,-17.22,NA,NA,NA,12.5,NA
1859-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"empty"
1859-01-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-09 09:00:00,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1859-01-09 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-09 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1859-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.78,NA,NA,-18.33,-28.33,-8.33,NA,NA,-38.89,-16.67,NA,NA,"empty"
1859-01-10 07:00:00,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.33,NA,NA
1859-01-10 09:00:00,-10.56,225,0.34,1022.69,NA,NA,NA,NA,NA,NA,NA,-33.33,NA,NA,NA,-33.33,-33.33,NA,NA,NA,0,NA
1859-01-10 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-10 14:00:00,-10.56,NA,0.58,1024.38,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-10 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.78,NA,NA,NA,NA,-28.33,NA,NA,NA,0,NA
1859-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.67,NA,NA,-20,-32.22,-7.78,NA,NA,-36.67,-16.67,NA,NA,"empty"
1859-01-11 07:00:00,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.33,NA,NA
1859-01-11 09:00:00,-9.44,225,0.47,1019.3,NA,NA,NA,NA,NA,NA,NA,-24.44,NA,NA,NA,NA,-30.56,NA,NA,NA,0,NA
1859-01-11 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-11 14:00:00,-8.89,NA,0.51,1014.22,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-11 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25,NA,NA,NA,NA,-29.44,NA,NA,NA,0,NA
1859-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.33,NA,NA,-19.17,-30,-8.33,NA,NA,-34.44,-22.22,NA,NA,"empty"
1859-01-12 07:00:00,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.22,NA,NA
1859-01-12 09:00:00,-10,225,0.64,1014.22,NA,NA,NA,NA,NA,NA,NA,-23.89,NA,NA,NA,NA,-27.22,NA,NA,NA,0,NA
1859-01-12 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-12 14:00:00,-8.89,NA,0.95,1012.53,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-12 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.56,NA,NA,NA,NA,-22.78,NA,NA,NA,0,NA
1859-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.94,NA,NA,-15.83,-24.44,-7.22,NA,NA,-28.33,-15.56,NA,NA,"snow"
1859-01-13 07:00:00,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.78,NA,NA
1859-01-13 09:00:00,-7.78,45,1.63,1004.06,NA,NA,NA,NA,NA,NA,NA,-15,NA,NA,NA,NA,-16.67,NA,NA,NA,8.84,",sn"
1859-01-13 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-13 14:00:00,-5.56,NA,1.83,1003.73,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-13 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.89,NA,NA,NA,NA,-15,NA,NA,NA,0,",sn"
1859-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.17,NA,NA,-9.44,-15.56,-3.33,NA,NA,-17.22,-11.11,NA,NA,"empty"
1859-01-14 07:00:00,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA
1859-01-14 09:00:00,-3.89,45,2.4,1014.22,NA,NA,NA,NA,NA,NA,NA,-10.56,NA,NA,NA,NA,-11.67,NA,NA,NA,0,NA
1859-01-14 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-14 14:00:00,-2.22,NA,4.06,1010.84,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-14 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.56,NA,NA,NA,-10.56,-10.56,NA,NA,NA,0,NA
1859-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.72,NA,NA,-6.11,-11.11,-1.11,NA,NA,-12.22,-7.22,NA,NA,"snow"
1859-01-15 07:00:00,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.67,NA,NA
1859-01-15 09:00:00,-1.11,45,3.32,992.21,NA,NA,NA,NA,NA,NA,NA,-6.67,NA,NA,NA,NA,-7.78,NA,NA,NA,7.9,",sn"
1859-01-15 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-15 14:00:00,0,NA,4.06,985.44,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-15 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.78,NA,NA,NA,-7.78,-7.78,NA,NA,NA,0,",sn"
1859-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"empty"
1859-01-16 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-16 09:00:00,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1859-01-16 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-16 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859-01-16 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1859-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.5,NA,NA,-8.06,-8.89,-7.22,NA,NA,-11.11,-3.89,NA,NA,"empty"
