"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Kingston","44.2","-76.5","85.3","America/Toronto","5","71820","6104185"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"e","specific humidity","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"rh","relative humidity","atmospheric material",NA,"%","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"tb_mean","humidity","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tbn","humidity","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"tbx","humidity","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"td","hydroclimatic variable","atmospheric material",NA,"C","sub-daily","instrumental","calculated","computational method","n",NA
"tdb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Tx","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Txs","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","dd","e","p","pr","rh","ta_mean","tb","tb_mean","tbn","tbx","td","tdb","Tn","Tx","Txs","w","ww"
1856-04-04 14:00:00,17.78,NA,6.47,999.26,NA,80.2,NA,1.44,NA,NA,NA,NA,2.78,NA,NA,NA,NA,NA
1856-04-04 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56,NA,NA,NA,NA,10.82,NA
1856-04-05,NA,NA,NA,NA,NA,NA,1.11,NA,NA,-2.33,NA,NA,NA,-1.39,3.56,NA,NA,"empty"
1856-04-05 07:00:00,NA,NA,6.13,NA,NA,84.7,NA,0.17,NA,NA,NA,NA,1.22,NA,NA,5.72,NA,NA
1856-04-05 09:00:00,9,292.5,6.13,1004.88,0,NA,NA,NA,NA,NA,NA,-1.56,NA,NA,NA,NA,4.84,NA
1856-04-05 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-05 14:00:00,10.17,NA,6.6,1005.55,NA,91.3,NA,0.56,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1856-04-05 15:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33,NA,NA,NA,NA,3.95,NA
1856-04-06,NA,NA,NA,NA,NA,NA,1.17,NA,NA,-2.22,NA,NA,NA,-1,3.33,NA,NA,"empty"
1856-04-06 07:00:00,NA,NA,7.18,NA,NA,88.9,NA,2.06,NA,NA,NA,NA,2.78,NA,NA,18,NA,NA
1856-04-06 09:00:00,4.72,225,7.18,1006.03,0,NA,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,12.5,NA
1856-04-06 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-06 14:00:00,6.11,NA,6.94,1004.94,NA,83.3,NA,2.33,NA,NA,NA,NA,3.61,NA,NA,NA,NA,NA
1856-04-06 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,0,NA
1856-04-07,NA,NA,NA,NA,NA,NA,0.94,NA,NA,-1.67,NA,NA,NA,-1.67,3.61,NA,NA,"empty"
1856-04-07 07:00:00,NA,NA,5.89,NA,NA,85.2,NA,0,NA,NA,NA,NA,1.28,NA,NA,15,NA,NA
1856-04-07 09:00:00,6.39,225,5.89,1007.18,0,NA,NA,NA,NA,NA,NA,-2.06,NA,NA,NA,NA,0,NA
1856-04-07 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-07 14:00:00,10.56,NA,6.64,1009.14,NA,76.9,NA,-0.28,NA,NA,NA,NA,4.28,NA,NA,NA,NA,NA
1856-04-07 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17,NA,NA,NA,NA,0,NA
1856-04-08,NA,NA,NA,NA,NA,NA,2.33,NA,NA,-3.11,NA,NA,NA,-2.06,6.78,NA,NA,"empty"
1856-04-08 07:00:00,NA,NA,6.03,NA,NA,80,NA,0.28,NA,NA,NA,NA,1.67,NA,NA,15.78,NA,NA
1856-04-08 09:00:00,8.61,225,6.03,1016.26,0,NA,NA,NA,NA,NA,NA,-1.78,NA,NA,NA,NA,0,NA
1856-04-08 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-08 14:00:00,15.39,NA,8.2,1016.73,NA,82.7,NA,4.72,NA,NA,NA,NA,6.11,NA,NA,NA,NA,NA
1856-04-08 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06,NA,NA,NA,NA,0,NA
1856-04-09,NA,NA,NA,NA,NA,NA,3.72,NA,NA,-1.56,NA,NA,NA,0,7.5,NA,NA,"empty"
1856-04-09 07:00:00,NA,NA,8.2,NA,NA,82.7,NA,4.72,NA,NA,NA,NA,6.11,NA,NA,15.83,NA,NA
1856-04-09 09:00:00,13.33,225,8.2,1011.72,0,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA,NA,0,NA
1856-04-09 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-09 14:00:00,17.33,NA,10.67,1004.54,NA,84.2,NA,8.61,NA,NA,NA,NA,10,NA,NA,NA,NA,NA
1856-04-09 15:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,NA,NA,NA,NA,11.85,NA
1856-04-10,NA,NA,NA,NA,NA,NA,3.67,NA,NA,-1.56,NA,NA,NA,-0.44,7.78,NA,NA,"empty"
1856-04-10 07:00:00,NA,NA,5.32,NA,NA,80.2,NA,-0.89,NA,NA,NA,NA,0.39,NA,NA,1.33,NA,NA
1856-04-10 09:00:00,11.33,315,5.32,1017.41,0,NA,NA,NA,NA,NA,NA,-3.61,NA,NA,NA,NA,6.25,NA
1856-04-10 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-10 14:00:00,15,NA,7.08,1016.05,NA,73,NA,3.44,NA,NA,NA,NA,5.28,NA,NA,NA,NA,NA
1856-04-10 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,6.25,NA
1856-04-11,NA,NA,NA,NA,NA,NA,2.89,NA,NA,-3.61,NA,NA,NA,-2.5,8.33,NA,NA,"empty"
1856-04-11 07:00:00,NA,NA,5.76,NA,NA,79.5,NA,-0.28,NA,NA,NA,NA,1.11,NA,NA,17.5,NA,NA
1856-04-11 09:00:00,12.89,225,5.76,1013.14,0,NA,NA,NA,NA,NA,NA,-2.5,NA,NA,NA,NA,4.84,NA
1856-04-11 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-11 14:00:00,17.5,NA,7.35,1008.67,NA,79.6,NA,3.33,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
1856-04-11 15:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,NA,NA,NA,NA,4.84,NA
1856-04-12,NA,NA,NA,NA,NA,NA,3.17,NA,NA,0,NA,NA,NA,1.39,5,NA,NA,"rain"
1856-04-12 07:00:00,NA,NA,7.59,NA,NA,87.9,NA,3.06,NA,NA,NA,NA,3.89,NA,NA,NA,NA,NA
1856-04-12 09:00:00,11.5,315,7.59,990.72,11.43,NA,NA,NA,NA,NA,NA,1.83,NA,NA,NA,NA,4.84,NA
1856-04-12 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-12 14:00:00,13.56,NA,9.21,990.59,NA,89.3,NA,5.83,NA,NA,NA,NA,6.67,NA,NA,NA,NA,NA
1856-04-12 15:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.83,NA,NA,NA,NA,4.84,NA
1856-04-13,NA,NA,NA,NA,NA,NA,-0.72,NA,NA,-9.17,NA,NA,NA,-6.11,4.72,NA,NA,"rain"
1856-04-13 07:00:00,NA,NA,1.69,NA,NA,63.5,NA,-7.5,NA,NA,NA,NA,-5.83,NA,NA,NA,NA,NA
1856-04-13 09:00:00,4.28,45,1.69,1014.49,0,NA,NA,NA,NA,NA,NA,-20,NA,NA,NA,NA,10.07,NA
1856-04-13 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-13 14:00:00,4.17,NA,4.23,1013.28,NA,67.4,NA,-2.78,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1856-04-13 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.22,NA,NA,NA,NA,11.85,NA
1856-04-14,NA,NA,NA,NA,NA,NA,1.28,NA,NA,-3.78,NA,NA,NA,-2.22,4.72,NA,NA,"empty"
1856-04-14 07:00:00,NA,NA,5.18,NA,NA,76.8,NA,-1.33,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1856-04-14 09:00:00,9.11,225,5.18,1010.16,0,NA,NA,NA,NA,NA,NA,-4.11,NA,NA,NA,NA,10.07,NA
1856-04-14 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-14 14:00:00,15.56,NA,6.13,1005.35,NA,73.6,NA,1.39,NA,NA,NA,NA,2.78,NA,NA,NA,NA,NA
1856-04-14 15:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5,NA,NA,NA,NA,7.9,NA
1856-04-15,NA,NA,NA,NA,NA,NA,4.17,NA,NA,-3.89,NA,NA,NA,-1.83,10.17,NA,NA,"empty"
1856-04-15 07:00:00,NA,NA,7.08,NA,NA,76.7,NA,3.06,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
1856-04-15 09:00:00,11.67,45,7.08,1005.35,0,NA,NA,NA,NA,NA,NA,0.72,NA,NA,NA,NA,0,NA
1856-04-15 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-15 14:00:00,14.06,NA,10.97,1003.32,NA,89.8,NA,8.61,NA,NA,NA,NA,9.44,NA,NA,NA,NA,NA
1856-04-15 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,NA,NA,NA,NA,0,NA
1856-04-16,NA,NA,NA,NA,NA,NA,6.61,NA,NA,0.67,NA,NA,NA,2.5,10.72,NA,NA,"empty"
1856-04-16 07:00:00,NA,NA,8.23,NA,NA,85.8,NA,4.44,NA,NA,NA,NA,5.56,NA,NA,NA,NA,NA
1856-04-16 09:00:00,13.33,90,8.23,1006.37,0,NA,NA,NA,NA,NA,NA,3.11,NA,NA,NA,NA,0,NA
1856-04-16 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-16 14:00:00,15,NA,10.16,1004.54,NA,83.7,NA,8.06,NA,NA,NA,NA,9.44,NA,NA,NA,NA,NA
1856-04-16 15:00:00,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.56,NA,NA,NA,NA,0,NA
1856-04-17,NA,NA,NA,NA,NA,NA,7.5,NA,NA,1.39,NA,NA,NA,2.5,12.5,NA,NA,"rain"
1856-04-17 07:00:00,NA,NA,8.84,NA,NA,85.3,NA,5.56,NA,NA,NA,NA,6.67,NA,NA,NA,NA,NA
1856-04-17 09:00:00,12.78,NA,8.84,1003.39,1.78,NA,NA,NA,NA,NA,NA,4.22,NA,NA,NA,NA,0,NA
1856-04-17 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-17 14:00:00,17.33,NA,8.87,999.93,NA,89.2,NA,5.28,NA,NA,NA,NA,6.11,NA,NA,NA,NA,NA
1856-04-17 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28,NA,NA,NA,NA,0,NA
1856-04-18,NA,NA,NA,NA,NA,NA,6,NA,NA,-1.39,NA,NA,NA,-0.28,12.33,NA,NA,"empty"
1856-04-18 07:00:00,NA,NA,6.94,NA,NA,80.4,NA,2.5,NA,NA,NA,NA,3.89,NA,NA,NA,NA,NA
1856-04-18 09:00:00,13.33,135,6.94,998.1,0,NA,NA,NA,NA,NA,NA,0.44,NA,NA,NA,NA,4.84,NA
1856-04-18 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-18 14:00:00,15.28,NA,8.57,999.05,NA,80.2,NA,5.56,NA,NA,NA,NA,7.22,NA,NA,NA,NA,NA
1856-04-18 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72,NA,NA,NA,NA,4.84,NA
1856-04-19,NA,NA,NA,NA,NA,NA,5.89,NA,NA,-1.11,NA,NA,NA,0,11.78,NA,NA,"empty"
1856-04-19 07:00:00,NA,NA,7.62,NA,NA,79.7,NA,3.89,NA,NA,NA,NA,5.56,NA,NA,NA,NA,NA
1856-04-19 09:00:00,16.11,315,7.62,1008.87,0,NA,NA,NA,NA,NA,NA,1.89,NA,NA,NA,NA,0,NA
1856-04-19 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-19 14:00:00,15.28,NA,8.84,1007.32,NA,77.6,NA,6.39,NA,NA,NA,NA,8.33,NA,NA,NA,NA,NA
1856-04-19 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28,NA,NA,NA,NA,0,NA
1856-04-20,NA,NA,NA,NA,NA,NA,4.56,NA,NA,0.83,NA,NA,NA,-1.11,10.28,NA,NA,"empty"
1856-04-20 07:00:00,NA,NA,5.18,NA,NA,76.8,NA,-1.39,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1856-04-20 09:00:00,7.22,0,5.18,1011.45,0,NA,NA,NA,NA,NA,NA,-4.11,NA,NA,NA,NA,13.4,NA
1856-04-20 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-20 14:00:00,7.5,NA,6.23,1009.14,NA,60.6,NA,3.06,NA,NA,NA,NA,6.67,NA,NA,NA,NA,NA
1856-04-20 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.62,NA,NA,NA,NA,11.69,NA
1856-04-21,NA,NA,NA,NA,NA,NA,5.28,NA,NA,-1.39,NA,NA,NA,0.28,10.28,NA,NA,"empty"
1856-04-21 07:00:00,NA,NA,4.77,NA,NA,66,NA,-1.28,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1856-04-21 09:00:00,9.17,45,4.77,1006.77,0,NA,NA,NA,NA,NA,NA,-5.39,NA,NA,NA,NA,12.5,NA
1856-04-21 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-21 14:00:00,11.11,NA,8.06,1000.88,NA,61.5,NA,6.67,NA,NA,NA,NA,10.56,NA,NA,NA,NA,NA
1856-04-21 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA,NA,8.84,NA
1856-04-22,NA,NA,NA,NA,NA,NA,6.11,NA,NA,-0.28,NA,NA,NA,1.67,10.56,NA,NA,"rain"
1856-04-22 07:00:00,NA,NA,7.62,NA,NA,79.7,NA,4.17,NA,NA,NA,NA,5.56,NA,NA,NA,NA,NA
1856-04-22 09:00:00,13.33,45,7.62,993.43,1.52,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA,NA,8.84,NA
1856-04-22 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-22 14:00:00,18.89,NA,9.85,993.91,NA,86.6,NA,7.22,NA,NA,NA,NA,8.61,NA,NA,NA,NA,NA
1856-04-22 15:00:00,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA,NA,0,NA
1856-04-23,NA,NA,NA,NA,NA,NA,6.39,NA,NA,0,NA,NA,NA,1.11,11.67,NA,NA,"empty"
1856-04-23 07:00:00,NA,NA,8.23,NA,NA,85.8,NA,4.72,NA,NA,NA,NA,5.83,NA,NA,NA,NA,NA
1856-04-23 09:00:00,15,180,8.23,1001.08,0,NA,NA,NA,NA,NA,NA,3.11,NA,NA,NA,NA,0,NA
1856-04-23 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-23 14:00:00,12.78,NA,9.92,1000,NA,76,NA,8.33,NA,NA,NA,NA,10.56,NA,NA,NA,NA,NA
1856-04-23 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11,NA,NA,NA,NA,0,NA
1856-04-24,NA,NA,NA,NA,NA,NA,8.89,NA,NA,-0.28,NA,NA,NA,1.11,16.67,NA,NA,"empty"
1856-04-24 07:00:00,NA,NA,11.41,NA,NA,87.1,NA,9.44,NA,NA,NA,NA,10.56,NA,NA,NA,NA,NA
1856-04-24 09:00:00,9.72,225,11.41,1002.64,0,NA,NA,NA,NA,NA,NA,8.33,NA,NA,NA,NA,0,NA
1856-04-24 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-24 14:00:00,10.83,NA,13.61,1000.34,NA,79.6,NA,13.06,NA,NA,NA,NA,15,NA,NA,NA,NA,NA
1856-04-24 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,0,NA
1856-04-25,NA,NA,NA,NA,NA,NA,12.22,NA,NA,5,NA,NA,NA,5.83,18.61,NA,NA,"empty"
1856-04-25 07:00:00,NA,NA,14.7,NA,NA,86.7,NA,13.06,NA,NA,NA,NA,13.89,NA,NA,NA,NA,NA
1856-04-25 09:00:00,10,45,14.7,1011.92,0,NA,NA,NA,NA,NA,NA,12.31,NA,NA,NA,NA,4.42,NA
1856-04-25 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-25 14:00:00,11.11,NA,15.37,1012.19,NA,69.5,NA,14.17,NA,NA,NA,NA,15.42,NA,NA,NA,NA,NA
1856-04-25 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.17,NA,NA,NA,NA,0,NA
1856-04-26,NA,NA,NA,NA,NA,NA,12.31,NA,NA,5,NA,NA,NA,5.83,19.03,NA,NA,"empty"
1856-04-26 07:00:00,NA,NA,14.39,NA,NA,68.7,NA,13.33,NA,NA,NA,NA,14.72,NA,NA,NA,NA,NA
1856-04-26 09:00:00,10.56,45,14.39,1016.73,0,NA,NA,NA,NA,NA,NA,10.69,NA,NA,NA,NA,3.12,NA
1856-04-26 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-26 14:00:00,11.67,NA,16.8,1013.34,NA,72.6,NA,16.11,NA,NA,NA,NA,17.78,NA,NA,NA,NA,NA
1856-04-26 15:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.59,NA,NA,NA,NA,3.12,NA
1856-04-27,NA,NA,NA,NA,NA,NA,11.94,NA,NA,3.33,NA,NA,NA,4.72,19.17,NA,NA,"empty"
1856-04-27 07:00:00,NA,NA,12.6,NA,NA,84.3,NA,11.11,NA,NA,NA,NA,12.78,NA,NA,NA,NA,NA
1856-04-27 09:00:00,11.67,180,12.6,1009.75,0,NA,NA,NA,NA,NA,NA,9.94,NA,NA,NA,NA,7.65,NA
1856-04-27 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-27 14:00:00,12.78,NA,17.44,1006.5,NA,70.8,NA,16.39,NA,NA,NA,NA,18.06,NA,NA,NA,NA,NA
1856-04-27 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.28,NA,NA,NA,NA,0,NA
1856-04-28,NA,NA,NA,NA,NA,NA,14.72,NA,NA,9.31,NA,NA,NA,9.17,20.28,NA,NA,"empty"
1856-04-28 07:00:00,NA,NA,11.41,NA,NA,84.4,NA,10.94,NA,NA,NA,NA,12.78,NA,NA,NA,NA,NA
1856-04-28 09:00:00,12.78,225,11.41,1003.86,0,NA,NA,NA,NA,NA,NA,9.72,NA,NA,NA,NA,7.65,NA
1856-04-28 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-28 14:00:00,13.61,NA,13.82,1000.88,NA,61.9,NA,13.61,NA,NA,NA,NA,16.39,NA,NA,NA,NA,NA
1856-04-28 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,0,NA
1856-04-29,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,5,11.11,NA,NA,"empty"
1856-04-29 07:00:00,NA,NA,8.5,NA,NA,69.6,NA,6.67,NA,NA,NA,NA,9.44,NA,NA,NA,NA,NA
1856-04-29 09:00:00,12.22,NA,8.5,1005.76,0,NA,NA,NA,NA,NA,NA,3.61,NA,NA,NA,NA,0,NA
1856-04-29 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-29 14:00:00,12.22,NA,9.21,1005.76,NA,70,NA,7.78,NA,NA,NA,NA,10.56,NA,NA,NA,NA,NA
1856-04-29 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72,NA,NA,NA,NA,15.3,NA
1856-04-30,NA,NA,NA,NA,NA,NA,11.67,NA,NA,3.89,NA,NA,NA,6.11,17.22,NA,NA,"empty"
1856-04-30 07:00:00,NA,NA,7.35,NA,NA,64.7,NA,5.28,NA,NA,NA,NA,8.61,NA,NA,NA,NA,NA
1856-04-30 09:00:00,11.67,45,7.35,1014.16,0,NA,NA,NA,NA,NA,NA,1.33,NA,NA,NA,NA,6.25,NA
1856-04-30 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-04-30 14:00:00,12.22,NA,7.52,1015.92,NA,53.7,NA,6.67,NA,NA,NA,NA,12.78,NA,NA,NA,NA,NA
1856-04-30 15:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA,10.82,NA
1856-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"empty"
1856-05-01 07:00:00,NA,NA,11.82,NA,NA,98.5,NA,8.89,NA,NA,NA,NA,9.03,NA,NA,NA,NA,NA
1856-05-01 09:00:00,10.97,45,11.82,1029.46,0,NA,NA,NA,NA,NA,NA,8.72,NA,NA,NA,NA,10.82,NA
1856-05-01 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-05-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-05-01 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1856-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA,5.56,16.67,NA,NA,"rain"
1856-05-02 07:00:00,NA,NA,9.41,NA,NA,82.5,NA,6.67,NA,NA,NA,NA,7.78,NA,NA,NA,NA,NA
1856-05-02 09:00:00,11.67,45,9.41,999.59,15.24,NA,NA,NA,NA,NA,NA,5.22,NA,NA,NA,NA,10.82,NA
1856-05-02 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-05-02 14:00:00,11.67,NA,9.41,1007.45,NA,85.2,NA,6.67,NA,NA,NA,NA,7.78,NA,NA,NA,NA,NA
1856-05-02 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22,NA,NA,NA,NA,10.82,NA
1856-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.28,NA,NA,NA,3.06,16.11,NA,NA,"rain"
1856-05-03 07:00:00,NA,NA,5.66,NA,NA,58.8,NA,2.64,NA,NA,NA,NA,5.56,NA,NA,NA,NA,NA
1856-05-03 09:00:00,9.72,45,5.66,1001.83,3.43,NA,NA,NA,NA,NA,NA,-2.78,NA,NA,NA,NA,10.82,NA
1856-05-03 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-05-03 14:00:00,10,NA,6.5,1002.03,NA,49.8,NA,5.28,NA,NA,NA,NA,10.56,NA,NA,NA,NA,NA
1856-05-03 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56,NA,NA,NA,NA,0,NA
1856-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.47,NA,NA,NA,0.83,11.67,NA,NA,"empty"
1856-05-04 07:00:00,NA,NA,7.69,NA,NA,85.8,NA,3.33,NA,NA,NA,NA,4.44,NA,NA,NA,NA,NA
1856-05-04 09:00:00,8.33,315,7.69,1005.52,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,10.82,NA
1856-05-04 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-05-04 14:00:00,9.03,NA,9.21,1005.55,NA,86.3,NA,6.39,NA,NA,NA,NA,7.22,NA,NA,NA,NA,NA
1856-05-04 15:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89,NA,NA,NA,NA,8.84,NA
1856-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.56,11.67,NA,NA,"empty"
1856-05-05 07:00:00,NA,NA,8.57,NA,NA,92.8,NA,5,NA,NA,NA,NA,5.83,NA,NA,NA,NA,NA
1856-05-05 09:00:00,8.33,45,8.57,1013.88,0,NA,NA,NA,NA,NA,NA,3.83,NA,NA,NA,NA,0,NA
1856-05-05 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-05-05 14:00:00,14.44,NA,11.38,1015.92,NA,93,NA,8.89,NA,NA,NA,NA,9.44,NA,NA,NA,NA,NA
