"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortPrinceWalesHB","58.8","-94.2","6","America/Winnipeg","6","71696","5060608"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","ta"
1768-10-22 15:00:00,NA,-2.78
1768-10-22 20:00:00,0,NA
1768-10-23,NA,NA
1768-10-23 09:00:00,NA,-3.89
1768-10-23 15:00:00,NA,-3.33
1768-10-23 20:00:00,315,NA
1768-10-24,NA,NA
1768-10-24 09:00:00,NA,-7.5
1768-10-24 15:00:00,NA,-7.22
1768-10-24 20:00:00,0,NA
1768-10-25,NA,NA
1768-10-25 09:00:00,NA,-10.28
1768-10-25 15:00:00,NA,-7.22
1768-10-25 20:00:00,315,NA
1768-10-26,NA,NA
1768-10-26 09:00:00,NA,-12.5
1768-10-26 15:00:00,NA,-12.5
1768-10-26 20:00:00,315,NA
1768-10-27,NA,NA
1768-10-27 09:00:00,NA,-4.44
1768-10-27 15:00:00,NA,-2.22
1768-10-27 20:00:00,315,NA
1768-10-28,NA,NA
1768-10-28 09:00:00,NA,-10
1768-10-28 15:00:00,NA,-9.17
1768-10-28 20:00:00,0,NA
1768-10-29,NA,NA
1768-10-29 09:00:00,NA,-12.22
1768-10-29 15:00:00,NA,-8.33
1768-10-29 20:00:00,315,NA
1768-10-30,NA,NA
1768-10-30 09:00:00,NA,-9.44
1768-10-30 15:00:00,NA,-5.56
1768-10-30 20:00:00,225,NA
1768-10-31,NA,NA
1768-10-31 09:00:00,NA,-6.67
1768-10-31 15:00:00,NA,-11.11
1768-10-31 20:00:00,315,NA
1768-11-01,NA,NA
1768-11-01 09:00:00,NA,-10
1768-11-01 15:00:00,NA,-6.94
1768-11-01 20:00:00,135,NA
1768-11-02,NA,NA
1768-11-02 09:00:00,NA,-7.22
1768-11-02 15:00:00,NA,-7.22
1768-11-02 20:00:00,315,NA
1768-11-03,NA,NA
1768-11-03 09:00:00,NA,-2.78
1768-11-03 15:00:00,NA,0
1768-11-03 20:00:00,180,NA
1768-11-04,NA,NA
1768-11-04 09:00:00,NA,-7.78
1768-11-04 15:00:00,NA,-8.89
1768-11-04 20:00:00,315,NA
1768-11-05,NA,NA
1768-11-05 09:00:00,NA,-11.11
1768-11-05 15:00:00,NA,-8.89
1768-11-05 20:00:00,315,NA
1768-11-06,NA,NA
1768-11-06 09:00:00,NA,-17.78
1768-11-06 15:00:00,NA,-20.56
1768-11-06 20:00:00,315,NA
1768-11-07,NA,NA
1768-11-07 09:00:00,NA,-22.22
1768-11-07 15:00:00,NA,-17.78
1768-11-07 20:00:00,315,NA
1768-11-08,NA,NA
1768-11-08 09:00:00,NA,-7.78
1768-11-08 15:00:00,NA,-0.83
1768-11-08 20:00:00,45,NA
1768-11-09,NA,NA
1768-11-09 09:00:00,NA,-24.44
1768-11-09 15:00:00,NA,-19.44
1768-11-09 20:00:00,315,NA
1768-11-10,NA,NA
1768-11-10 09:00:00,NA,-15.56
1768-11-10 15:00:00,NA,-12.5
1768-11-10 20:00:00,315,NA
1768-11-11,NA,NA
1768-11-11 09:00:00,NA,-16.67
1768-11-11 15:00:00,NA,-12.78
1768-11-11 20:00:00,315,NA
1768-11-12,NA,NA
1768-11-12 09:00:00,NA,-14.44
1768-11-12 15:00:00,NA,-9.17
1768-11-12 20:00:00,225,NA
1768-11-13,NA,NA
1768-11-13 09:00:00,NA,-5
1768-11-13 15:00:00,NA,-6.67
1768-11-13 20:00:00,90,NA
1768-11-14,NA,NA
1768-11-14 09:00:00,NA,-21.11
1768-11-14 15:00:00,NA,-22.78
1768-11-14 20:00:00,315,NA
1768-11-15,NA,NA
1768-11-15 09:00:00,NA,-20
1768-11-15 15:00:00,NA,-16.11
1768-11-15 20:00:00,270,NA
1768-11-16,NA,NA
1768-11-16 09:00:00,NA,-20.56
1768-11-16 15:00:00,NA,-14.44
1768-11-16 20:00:00,180,NA
1768-11-17,NA,NA
1768-11-17 09:00:00,NA,-18.89
1768-11-17 15:00:00,NA,-16.11
1768-11-17 20:00:00,315,NA
1768-11-18,NA,NA
1768-11-18 09:00:00,NA,-24.44
1768-11-18 15:00:00,NA,-21.67
1768-11-18 20:00:00,315,NA
1768-11-19,NA,NA
1768-11-19 09:00:00,NA,-26.11
1768-11-19 15:00:00,NA,-24.17
1768-11-19 20:00:00,315,NA
1768-11-20,NA,NA
1768-11-20 09:00:00,NA,-20
1768-11-20 15:00:00,NA,-17.22
1768-11-20 20:00:00,90,NA
1768-11-21,NA,NA
1768-11-21 09:00:00,NA,-15
1768-11-21 15:00:00,NA,-12.22
1768-11-21 20:00:00,0,NA
1768-11-22,NA,NA
1768-11-22 09:00:00,NA,-13.89
1768-11-22 15:00:00,NA,-14.44
1768-11-22 20:00:00,315,NA
1768-11-23,NA,NA
1768-11-23 09:00:00,NA,-10
1768-11-23 15:00:00,NA,-11.39
1768-11-23 20:00:00,315,NA
1768-11-24,NA,NA
1768-11-24 09:00:00,NA,-13.89
1768-11-24 15:00:00,NA,-14.44
1768-11-24 20:00:00,0,NA
1768-11-25,NA,NA
1768-11-25 09:00:00,NA,-22.78
1768-11-25 15:00:00,NA,-18.89
1768-11-25 20:00:00,0,NA
1768-11-26,NA,NA
1768-11-26 09:00:00,NA,-24.44
1768-11-26 15:00:00,NA,-24.44
1768-11-26 20:00:00,315,NA
1768-11-27,NA,NA
1768-11-27 09:00:00,NA,-28.89
1768-11-27 15:00:00,NA,-26.11
1768-11-27 20:00:00,315,NA
1768-11-28,NA,NA
1768-11-28 09:00:00,NA,-24.44
1768-11-28 15:00:00,NA,-26.67
1768-11-28 20:00:00,315,NA
1768-11-29,NA,NA
1768-11-29 09:00:00,NA,-26.67
1768-11-29 15:00:00,NA,-23.89
1768-11-29 20:00:00,315,NA
1768-11-30,NA,NA
1768-11-30 09:00:00,NA,-25
1768-11-30 15:00:00,NA,-23.33
1768-11-30 20:00:00,315,NA
1768-12-01,NA,NA
1768-12-01 09:00:00,NA,NA
1768-12-01 15:00:00,NA,-16.11
1768-12-01 20:00:00,0,NA
1768-12-02,NA,NA
1768-12-02 09:00:00,NA,-21.11
1768-12-02 15:00:00,NA,-22.22
1768-12-02 20:00:00,225,NA
1768-12-03,NA,NA
1768-12-03 09:00:00,NA,-23.33
1768-12-03 15:00:00,NA,-21.11
1768-12-03 20:00:00,315,NA
1768-12-04,NA,NA
1768-12-04 09:00:00,NA,-27.22
1768-12-04 15:00:00,NA,-25
1768-12-04 20:00:00,315,NA
1768-12-05,NA,NA
1768-12-05 09:00:00,NA,-26.67
1768-12-05 15:00:00,NA,-26.94
1768-12-05 20:00:00,315,NA
1768-12-06,NA,NA
1768-12-06 09:00:00,NA,-30.56
1768-12-06 15:00:00,NA,-26.67
1768-12-06 20:00:00,0,NA
1768-12-07,NA,NA
1768-12-07 09:00:00,NA,-32.22
1768-12-07 15:00:00,NA,-28.61
1768-12-07 20:00:00,315,NA
1768-12-08,NA,NA
1768-12-08 09:00:00,NA,-24.72
1768-12-08 15:00:00,NA,-22.22
1768-12-08 20:00:00,270,NA
1768-12-09,NA,NA
1768-12-09 09:00:00,NA,-25
1768-12-09 15:00:00,NA,-22.78
1768-12-09 20:00:00,180,NA
1768-12-10,NA,NA
1768-12-10 09:00:00,NA,-28.89
1768-12-10 15:00:00,NA,-25.56
1768-12-10 20:00:00,180,NA
1768-12-11,NA,NA
1768-12-11 09:00:00,NA,-38.61
1768-12-11 15:00:00,NA,-36.94
1768-12-11 20:00:00,270,NA
1768-12-12,NA,NA
1768-12-12 09:00:00,NA,-41.67
