"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"StJohnsNFLDDel","45.57","-52.61","44.2","America/St_Johns","3.5","71250","8403669"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"cd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"hd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"tdb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","cd","cv","dd","hd","p","pr","ptb","pte","sd","ta","ta_mean","tb","tdb","w","ww"
1856-12-04 21:00:00,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA,NA,NA
1856-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RA NA"
1856-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FG NA"
1856-12-05 07:00:00,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-05 07:00:00,NA,NA,NA,NA,NA,965.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA,NA,NA
1856-12-05 14:00:00,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-05 14:00:00,NA,NA,NA,NA,NA,973.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA,NA,NA
1856-12-05 21:00:00,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA,NA,NA
1856-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKC NA"
1856-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-06 07:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-06 07:00:00,NA,NA,NA,NA,NA,983.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA,NA,NA
1856-12-06 14:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-06 14:00:00,NA,NA,NA,NA,NA,988.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-06 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA,NA,NA
1856-12-06 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-06 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA,NA,NA
1856-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SN NA"
1856-12-07 07:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-07 07:00:00,NA,NA,NA,NA,NA,992.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA
1856-12-07 14:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-07 14:00:00,NA,NA,NA,NA,NA,992.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1856-12-07 21:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
1856-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SN NA"
1856-12-08 07:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-08 07:00:00,NA,NA,NA,NA,NA,993.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1856-12-08 14:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-08 14:00:00,NA,NA,NA,NA,NA,995.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1856-12-08 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1856-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKC NA"
1856-12-09 07:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-09 07:00:00,NA,NA,NA,NA,NA,997.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
1856-12-09 14:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-09 14:00:00,NA,NA,NA,NA,NA,997.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,NA,NA,NA,NA,NA
1856-12-09 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.33,NA,NA,NA,NA,NA
1856-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKC NA"
1856-12-10 07:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-10 07:00:00,NA,NA,NA,NA,NA,1000.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.89,NA,NA,NA,NA,NA
1856-12-10 14:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-10 14:00:00,NA,NA,NA,NA,NA,1005.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,NA,NA,NA,NA,NA
1856-12-10 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.33,NA,NA,NA,NA,NA
1856-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKC NA"
1856-12-11 07:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-11 07:00:00,NA,NA,NA,NA,NA,1009.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.33,NA,NA,NA,NA,NA
1856-12-11 14:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-11 14:00:00,NA,NA,NA,NA,NA,1010.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,NA,NA,NA,NA,NA
1856-12-11 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.78,NA,NA,NA,NA,NA
1856-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKC NA"
1856-12-12 07:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-12 07:00:00,NA,NA,NA,NA,NA,1010.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1856-12-12 14:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-12 14:00:00,NA,NA,NA,NA,NA,990.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA
1856-12-12 21:00:00,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA
1856-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKC NA"
1856-12-13 07:00:00,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-13 07:00:00,NA,NA,NA,NA,NA,992.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA
1856-12-13 14:00:00,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-13 14:00:00,NA,NA,NA,NA,NA,990.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
