Station ID,8010,,Station,Latitude,Longitude,Elevation,Observer,Start,End,,,,,,,,,,,
Observer ID,65,,FortSimpson,47.56,-52.7,unknown,Anon,1849-10,1850-06,,,,,,,,,,,
,,,,,,,inHg,F,F,F,dir,tenth,mno,mno,mno,mno,mno,lct,mno,
,,,,,,,p,ta,tb,atb,dd,wf,wx,wx,wx,wx,wx,c ,wx,
,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Observer_ID,Station_ID,year,month,day,julian day,hour,Barometer Aneroid,Air Thermometer Spirit,Wet Thermometer Mercury,Air thermometer mercury,Wind direction 8AM,Wind force,Weather 1,Weather 2,Weather 3,Weather 4,Weather 5,cloud,Remarks ,Filename
65,8010,1849,10,23,296,15,27.57,20,-999.9,47,calm,0,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,23,296,18,27.59,23,-999.9,50,calm,0,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,23,296,21,27.61,22.5,-999.9,53,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,24,297,6,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,24,297,9,27.83,19,-999.9,48,N by W,3,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,24,297,12,27.84,22,-999.9,51,N.W. ,3,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,24,297,15,27.85,22,-999.9,52,N.W.,3,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,24,297,18,27.87,19,-999.9,52,N.W.,3,overcast,snow,missing,missing,missing,missing,missing,
65,8010,1849,10,24,297,21,27.9,16.5,-999.9,52,missing,3,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,25,298,6,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,25,298,9,27.985,12.5,-999.9,52,N.W. by W.,5,snow,missing,missing,missing,missing,missing,Crust ice driving down the river from west branch and keeping the left bank of Mackenzie .,
65,8010,1849,10,25,298,12,28.4,13.5,-999.9,49,West,5,clear,cloudy, ,missing,missing,cirrus,missing,
65,8010,1849,10,25,298,15,28.16,13.5,-999.9,52,West,4,clear,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,25,298,18,28.06,6.5,-999.9,51,W.N.W.,2,clear,cloudy, ,missing,missing,cirrus,missing,
65,8010,1849,10,25,298,21,28,7.2,-999.9,52,W.N.W.,2,cloudy, overcast,missing,missing,missing,missing,missing,
65,8010,1849,10,26,299,9,27.43,19,-999.9,46,E by S,6,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,26,299,12,27.255,24,-999.9,55,E by S,4,overcast,missing,missing,missing,missing,missing,Quantities of ice driving from the West Branch,
65,8010,1849,10,26,299,15,27.175,23,-999.9,59,E by S,4,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,26,299,18,27.07,23,-999.9,58,calm,0,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,26,299,21,27.08,22,-999.9,62,N.W. by W.,3,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,27,300,9,27.32,19,-999.9,50,W.N.W.,6,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,27,300,12,27.4,21,-999.9,56,W.N.W.,3,overast,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,27,300,15,27.45,20,-999.9,56,W.N.W.,3,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,27,300,18,27.49,18,-999.9,54,W.N.W.,2,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,27,300,21,27.51,17.2,-999.9,54,W.N.W.,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,28,301,9,27.64,14,-999.9,47,W.N.W.,4,clear,cloudy,missing,missing,missing, cirrus,Large swapes of ice from the West branch quantities forming in the Mackenzie driving down in the right bank leaving the stream free.,
65,8010,1849,10,28,301,12,27.7,16,-999.9,54,N.W. by W.,3,clear,cloudy, ,missing,missing,cirrus,missing,
65,8010,1849,10,28,301,15,27.77,16,-999.9,50,N.W. by W.,3,cloudy, ,missing,missing,missing,cirrus,missing,
65,8010,1849,10,28,301,18,27.84,14,-999.9,52,N.W. by W.,2,clear,cloudy, ,missing,missing,cirrus,missing,
65,8010,1849,10,28,301,21,27.89,12,-999.9,50,N.W.,1,clear, ,missing,missing,missing,cirrus,missing,
65,8010,1849,10,29,302,9,28.08,4.5,-999.9,46,calm,0,clear,cloudy, ,missing,missing,cirrus,The passage in stream very small from the accumulation of driving ice.,
65,8010,1849,10,29,302,12,28.07,15,-999.9,48,calm,0,clear,cloudy, ,missing,missing,cirrus,missing,
65,8010,1849,10,29,302,15,28.04,14,-999.9,47,calm,0,clear,cloudy, ,missing,missing,cirrus,missing,
65,8010,1849,10,29,302,18,28.03,10,-999.9,56,calm,0,clear,cloudy, ,missing,missing,cirrus,missing,
65,8010,1849,10,29,302,21,27.96,10.5,-999.9,49,North,3,cloudy, overcast,missing,missing,missing,missing,missing,
65,8010,1849,10,30,303,6,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,About 2ins of snow fallen during the night,
65,8010,1849,10,30,303,9,27.51,15,-999.9,46,North,6,snow, overcast,missing,missing,missing,missing,missing,
65,8010,1849,10,30,303,12,27.455,15,-999.9,46,N.N.W.,6,snow,hoar frost,missing,missing,missing,missing,missing,
65,8010,1849,10,30,303,15,27.455,15,-999.9,47,N.N.W.,5,snow,hoar frost,missing,missing,missing,missing,missing,
65,8010,1849,10,30,303,18,27.54,12.5,-999.9,52,N.N.W.,7,snow,hoar frost,missing,missing,missing,missing,About 12 ins snow fallen during the day,
65,8010,1849,10,30,303,21,27.54,12,-999.9,54,N.N.W.,7,snow,hoar frost,missing,missing,missing,missing,missing,
65,8010,1849,10,31,304,6,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,Nearly 2 feet of snow fallen.,
65,8010,1849,10,31,304,9,27.87,10,-999.9,45,W,2,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,31,304,12,27.92,14.5,-999.9,49,missing,missing,clear,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,31,304,15,27.91,14,-999.9,52,N.W. by W.,1,clear,cloudy, ,missing,missing,cirrus,missing,
65,8010,1849,10,31,304,18,27.88,3,-999.9,52,calm,0,clear,missing,missing,missing,missing,missing,missing,
65,8010,1849,10,31,304,21,27.855,3,-999.9,46,S.E.,2,clear,cloudy, ,missing,missing,cirrus,missing,
65,8010,1849,11,1,305,6,-999.9,-999.9,-999.9,-999.9,East,4,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,1,305,9,27.54,6,-999.9,47,S.E. by E,2,cloudy, ,missing,missing,missing,cirrus,missing,
65,8010,1849,11,1,305,12,27.5,10,-999.9,48,S.E. by E,2,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,1,305,15,27.45,10.5,-999.9,49,E. S.E.,1,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,1,305,18,27.42,9,-999.9,49,E.S.E,1,snow, overcast,missing,missing,missing,missing,missing,
65,8010,1849,11,1,305,21,27.42,8,-999.9,49,Calm,0,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,2,306,9,27.38,11,-999.9,47,calm,0,snow,missing,missing,missing,missing,missing,The ice in large quantities driving down over all the river.,
65,8010,1849,11,2,306,12,27.38,14.5,-999.9,48,S by E,1,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,2,306,15,27.415,14,-999.9,50,W. S. W.,1,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,2,306,18,27.44,13,-999.9,54,S.W.,1,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,2,306,21,27.47,12,-999.9,51,S.W.,1,overcast,missing,missing,missing,missing,missing,missing,
